78-Pt_n-tot
> 78-Pt-192:0.007821
> 78-Pt-194:0.328626
> 78-Pt-195:0.337827
> 78-Pt-196:0.252120
> 78-Pt-198:0.073606
2.000000e-02 2.21165238e+01
2.074880e-02 2.19126428e+01
2.111410e-02 2.18133325e+01
2.137960e-02 2.17415527e+01
2.166190e-02 2.16658061e+01
2.302440e-02 2.13546238e+01
2.530000e-02 2.08360323e+01
3.210220e-02 1.96932284e+01
3.235940e-02 1.96501788e+01
3.245340e-02 1.96346325e+01
3.312340e-02 1.95500177e+01
3.765000e-02 1.89847631e+01
3.972300e-02 1.87623424e+01
3.981070e-02 1.87538978e+01
3.993070e-02 1.87424104e+01
4.148740e-02 1.85936860e+01
4.417200e-02 1.83389951e+01
4.439430e-02 1.83206027e+01
4.479940e-02 1.82873387e+01
4.862100e-02 1.79743064e+01
4.897780e-02 1.79474189e+01
4.966810e-02 1.78956307e+01
5.000000e-02 1.78707575e+01
5.073630e-02 1.78202876e+01
5.147250e-02 1.77698244e+01
5.196340e-02 1.77362007e+01
5.256400e-02 1.76952220e+01
5.294500e-02 1.76693193e+01
5.475610e-02 1.75462826e+01
5.512800e-02 1.75238310e+01
5.589000e-02 1.74780488e+01
5.852400e-02 1.73200530e+01
5.951220e-02 1.72611008e+01
6.025600e-02 1.72245322e+01
6.178000e-02 1.71504283e+01
6.508470e-02 1.69902880e+01
7.284270e-02 1.66166921e+01
7.413110e-02 1.65635663e+01
7.500000e-02 1.65280253e+01
7.684570e-02 1.64590642e+01
7.702520e-02 1.64523634e+01
7.905030e-02 1.63768968e+01
8.151930e-02 1.62851284e+01
8.153060e-02 1.62847112e+01
8.207980e-02 1.62644556e+01
8.310060e-02 1.62309808e+01
8.621560e-02 1.61293498e+01
8.915960e-02 1.60334643e+01
9.120120e-02 1.59752839e+01
9.558540e-02 1.58511688e+01
1.000000e-01 1.57263675e+01
1.021040e-01 1.56752277e+01
1.085500e-01 1.55188793e+01
1.091320e-01 1.55048023e+01
1.094470e-01 1.54985354e+01
1.122020e-01 1.54438429e+01
1.149950e-01 1.53890533e+01
1.188950e-01 1.53128783e+01
1.278860e-01 1.51378040e+01
1.335770e-01 1.50276536e+01
1.380390e-01 1.49579151e+01
1.478880e-01 1.48056117e+01
1.500000e-01 1.47730395e+01
1.584880e-01 1.46603123e+01
1.601790e-01 1.46378846e+01
1.634980e-01 1.45941544e+01
1.669760e-01 1.45564217e+01
1.698240e-01 1.45255704e+01
1.839520e-01 1.43741277e+01
2.000000e-01 1.42024579e+01
2.001220e-01 1.42013411e+01
2.004720e-01 1.41981056e+01
2.006260e-01 1.41966968e+01
2.008220e-01 1.41949040e+01
2.015230e-01 1.41885005e+01
2.022090e-01 1.41822630e+01
2.029240e-01 1.41757648e+01
2.037920e-01 1.41679992e+01
2.057250e-01 1.41507151e+01
2.069580e-01 1.41399836e+01
2.089300e-01 1.41228392e+01
2.113290e-01 1.41020943e+01
2.132910e-01 1.40860009e+01
2.225350e-01 1.40103440e+01
2.259560e-01 1.39849770e+01
2.288100e-01 1.39639020e+01
2.329850e-01 1.39331765e+01
2.449490e-01 1.38457331e+01
2.512860e-01 1.38055287e+01
2.570400e-01 1.37692082e+01
2.750000e-01 1.36565048e+01
2.846080e-01 1.36045797e+01
2.998180e-01 1.35225141e+01
3.147390e-01 1.34539334e+01
3.162280e-01 1.34471316e+01
3.173040e-01 1.34422584e+01
3.500000e-01 1.32945071e+01
3.540120e-01 1.32788622e+01
3.648040e-01 1.32367839e+01
3.669770e-01 1.32283164e+01
3.755950e-01 1.31979784e+01
3.890450e-01 1.31506773e+01
3.942130e-01 1.31326815e+01
3.971770e-01 1.31224420e+01
4.080780e-01 1.30848405e+01
4.403410e-01 1.29875311e+01
4.491800e-01 1.29609366e+01
4.786300e-01 1.28833393e+01
4.937560e-01 1.28438215e+01
5.000000e-01 1.28276024e+01
5.148050e-01 1.27941687e+01
5.296090e-01 1.27607835e+01
5.444220e-01 1.27274434e+01
5.477230e-01 1.27200479e+01
5.497970e-01 1.27154153e+01
5.592180e-01 1.26980696e+01
5.888440e-01 1.26437454e+01
6.184360e-01 1.25900148e+01
6.729510e-01 1.24916867e+01
6.812900e-01 1.24793556e+01
7.244370e-01 1.24157746e+01
7.500000e-01 1.23783918e+01
7.745970e-01 1.23471262e+01
8.206260e-01 1.22887595e+01
8.236920e-01 1.22848902e+01
8.309480e-01 1.22772518e+01
8.474290e-01 1.22599632e+01
8.872990e-01 1.22182583e+01
8.912510e-01 1.22141421e+01
