Cd-108(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
2724.69 4.23880
2725.24 4.11010
2726.35 3.97526
2727.46 3.90652
2728.57 3.86431
2730.78 3.81207
2735.21 3.74976
2739.64 3.70402
2748.50 3.62693
2757.35 3.55707
2766.21 3.48978
2775.07 3.42348
2779.50 3.39197
2783.93 3.36765
2786.14 3.36670
2788.36 3.39906
2789.47 3.46106
2790.02 3.52748
2790.57 3.65154
2791.13 3.91836
2791.40 4.18126
2791.68 4.64880
2791.82 5.03638
2791.96 5.60997
2792.10 6.52540
2792.23 8.08912
2792.37 11.1445
2792.44 13.8569
2792.51 18.2277
2792.58 25.8985
2792.65 41.0509
2792.68 54.9056
2792.72 76.3446
2792.75 113.296
2792.79 174.456
2792.82 278.570
2792.86 345.520
2792.90 275.605
2792.94 174.392
2792.97 120.356
2792.99 86.7812
2793.02 64.9076
2793.05 50.2415
2793.11 32.7932
2793.16 23.3800
2793.22 17.7141
2793.27 14.1734
2793.39 10.0918
2793.50 7.91165
2793.61 6.63468
2793.72 5.81694
2793.84 5.26219
2794.06 4.57721
2794.28 4.18962
2794.51 3.94700
2794.73 3.78610
2795.18 3.59041
2795.63 3.47974
2796.53 3.36288
2797.43 3.30261
2798.33 3.26498
2800.12 3.21668
2803.72 3.15266
2807.31 3.09691
2810.90 3.03896
2814.49 2.97482
2821.68 2.81457
2825.27 2.70923
2828.86 2.57700
2832.46 2.40427
2836.05 2.16728
2837.85 2.01203
2839.64 1.82180
2841.44 1.58537
2843.24 1.29266
2844.13 1.12649
2845.03 0.958436
2845.93 0.820641
2846.83 0.813761
2847.28 0.945572
2847.73 1.28498
2847.95 1.59273
2848.18 2.04726
2848.40 2.72605
2848.62 3.74137
2848.85 5.30342
2849.07 7.75383
2849.30 11.7916
2849.52 18.7603
2849.64 24.2534
2849.75 31.8709
2849.86 42.8229
2849.97 59.1119
2850.08 84.6052
2850.20 125.602
2850.31 194.973
2850.42 314.596
2850.55 538.090
2850.68 717.377
2850.81 610.832
2850.94 405.554
2851.03 299.712
2851.12 226.562
2851.21 176.322
2851.30 141.450
2851.48 97.3911
2851.66 72.0952
2851.84 56.2094
2852.01 45.6675
2852.37 32.8149
2852.73 25.4763
2853.09 20.8597
2853.45 17.7191
2853.81 15.4774
2854.52 12.5117
2855.24 10.6642
2855.96 9.41469
2856.67 8.51854
2858.11 7.32620
2859.54 6.57331
2860.98 6.05659
2862.41 5.68054
2865.28 5.17009
2868.15 4.83924
2871.01 4.60662
2873.88 4.43350
2879.62 4.19133
2885.35 4.03017
2888.22 3.97115
2891.09 3.93186
2892.52 3.93043
2893.96 3.97471
2894.67 4.05684
2895.03 4.14356
2895.39 4.30343
2895.75 4.64238
2895.93 4.97045
2896.11 5.54689
2896.29 6.69896
2896.38 7.76906
2896.47 9.53566
2896.56 12.8443
2896.60 15.6690
2896.64 19.8941
2896.69 26.9405
2896.73 39.4589
2896.78 63.9391
2896.80 84.3445
2896.82 113.823
2896.86 179.708
2896.89 223.780
2896.93 179.648
2896.96 113.743
2897.00 70.4239
2897.04 46.6688
2897.07 32.8736
2897.11 24.8001
2897.15 19.4901
2897.18 16.0138
2897.25 11.7713
2897.33 9.36807
2897.40 7.90122
2897.54 6.28971
2897.69 5.46121
2897.84 4.98573
2898.13 4.48314
2898.42 4.23697
2898.71 4.09744
2899.29 3.95134
2899.87 3.87784
2900.45 3.83397
2901.62 3.78233
2903.94 3.72680
2906.27 3.68996
2910.92 3.63236
2915.57 3.58359
2924.88 3.49856
2934.19 3.42275
2952.80 3.28229
2971.41 3.14024
2990.02 2.97962
3008.63 2.77825
3017.94 2.65124
3027.25 2.49781
3031.90 2.40988
3036.55 2.32008
3038.88 2.28501
3040.04 2.27812
3041.21 2.29041
3042.37 2.35233
3042.95 2.42986
3043.53 2.58348
3043.82 2.71774
3044.11 2.92545
3044.40 3.26711
3044.69 3.87810
3044.84 4.38537
3044.99 5.13655
3045.13 6.33411
3045.28 8.37651
3045.42 12.3507
3045.50 15.8951
3045.57 21.5021
3045.64 31.4207
3045.71 50.5402
3045.75 68.0447
3045.79 94.9713
3045.82 139.235
3045.86 214.770
3045.90 341.388
3045.94 427.444
3045.98 341.234
3046.02 214.554
3046.06 137.454
3046.10 92.9095
3046.13 65.5721
3046.17 48.8928
3046.25 30.0379
3046.32 20.6004
3046.39 15.1374
3046.47 11.7524
3046.62 7.98069
3046.77 6.01668
3046.92 4.87990
3047.07 4.15470
3047.22 3.66929
3047.52 3.07194
3047.81 2.73149
3048.11 2.51715
3048.41 2.37222
3049.01 2.18884
3049.61 2.07693
3050.80 1.93881
3052.00 1.84542
3053.19 1.76823
3055.58 1.62746
3060.36 1.33160
3065.14 0.975794
3067.54 0.771878
3069.93 0.559587
3072.32 0.369667
3073.51 0.308990
3074.71 0.303435
3075.30 0.336127
3075.90 0.405356
3076.50 0.526043
3077.10 0.719551
3077.70 1.01889
3078.29 1.47231
3078.89 2.15889
3079.49 3.20215
3080.09 4.81936
3080.68 7.39086
3081.28 11.6421
3081.88 19.0493
3082.18 24.8687
3082.48 33.0329
3082.78 44.8215
