Ba-134(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
1108.64 2.61105
1108.70 3.57944
1108.75 5.20070
1108.80 8.21450
1108.83 10.8501
1108.85 14.7592
1108.88 21.4467
1108.91 32.9489
1108.92 43.0316
1108.93 56.5871
1108.95 76.3180
1108.96 104.905
1108.98 166.990
1109.00 208.030
1109.02 166.992
1109.04 104.908
1109.05 74.5240
1109.07 54.1644
1109.10 31.7886
1109.12 20.2101
1109.15 14.0369
1109.18 10.1679
1109.21 7.75991
1109.26 4.93123
1109.31 3.38158
1109.37 2.47371
1109.42 1.87839
1109.48 1.48064
1109.59 0.981070
1109.70 0.699632
1109.81 0.524170
1109.91 0.407482
1110.13 0.266371
1110.35 0.188272
1110.79 0.108774
1111.23 0.0712876
1111.66 0.0506921
1112.54 0.0300325
1114.28 0.0151304
1116.03 0.00991316
1119.52 0.00626729
1123.02 0.00510508
1130.01 0.00456270
1137.00 0.00475514
1150.97 0.00609775
1164.95 0.00893067
1171.94 0.0113810
1178.93 0.0151592
1185.92 0.0214018
1192.91 0.0328021
1196.40 0.0424176
1199.89 0.0571046
1203.39 0.0811920
1206.88 0.124793
1208.63 0.161284
1209.51 0.185886
1210.38 0.216572
1211.25 0.255621
1211.69 0.279246
1212.13 0.306247
1212.56 0.337450
1213.00 0.373688
1213.44 0.416105
1213.87 0.466064
1214.31 0.525753
1214.75 0.597699
1215.18 0.685496
1215.62 0.793880
1216.06 0.930493
1216.49 1.10561
1216.93 1.33513
1217.37 1.64322
1217.80 2.07232
1218.24 2.69310
1218.68 3.63797
1219.11 5.17038
1219.55 7.90192
1219.77 10.1397
1219.99 13.4193
1220.21 18.5103
1220.42 26.7925
1220.64 41.1214
1220.86 66.6294
1221.08 106.827
1221.30 133.699
1221.52 106.779
1221.74 66.5831
1221.97 40.0651
1222.20 25.6276
1222.43 17.4816
1222.66 12.5941
1222.89 9.45071
1223.12 7.33426
1223.58 4.77070
1224.04 3.33862
1224.50 2.46489
1225.42 1.49770
1226.34 1.00441
1227.25 0.719700
1228.17 0.540760
1229.09 0.421172
1230.93 0.276005
1232.77 0.194743
1234.61 0.144735
1236.44 0.111809
1240.12 0.0724891
1243.79 0.0508246
1247.47 0.0376340
1251.14 0.0290137
1258.49 0.0188078
1265.84 0.0132309
1273.20 0.00985571
1280.55 0.00766111
1295.25 0.00507817
1309.95 0.00367852
1324.65 0.00284057
1339.35 0.00230444
1368.75 0.00170294
1398.16 0.00144386
1412.86 0.00142221
1427.56 0.00155267
1442.26 0.00251710
1449.61 0.00644364
1451.45 0.0104929
1453.28 0.0219579
1454.20 0.0378423
1455.12 0.0824724
1455.58 0.143719
1455.81 0.204184
1456.04 0.312521
1456.27 0.539277
1456.39 0.758766
1456.50 1.14109
1456.56 1.45720
1456.62 1.91512
1456.67 2.64298
1456.73 3.84863
1456.79 6.15632
1456.82 8.16193
1456.85 11.1681
1456.87 16.3554
1456.90 25.4562
1456.92 33.5336
1456.93 44.6345
1456.95 61.1480
1456.96 86.1142
1456.98 138.796
1457.00 172.097
1457.02 138.797
1457.04 86.1158
1457.06 61.1498
1457.07 43.6915
1457.09 32.2682
1457.10 25.0205
1457.13 15.8965
1457.16 10.9045
1457.19 7.91377
1457.22 5.99254
1457.27 3.76706
1457.33 2.58104
1457.39 1.87688
1457.45 1.42551
1457.51 1.11916
1457.62 0.742170
1457.74 0.527960
1457.97 0.306345
1458.20 0.199985
1458.43 0.140895
1458.90 0.0809638
1459.83 0.0371750
1460.75 0.0216074
1462.61 0.0103601
1464.47 0.00639381
1471.90 0.00257115
1486.75 0.00174328
1501.61 0.00210072
1509.03 0.00382527
1512.75 0.0104996
1513.68 0.0173169
1514.61 0.0364512
1515.07 0.0626776
1515.53 0.135204
1515.77 0.232570
1515.88 0.326873
1516.00 0.493214
1516.11 0.828771
1516.17 1.14184
1516.23 1.67148
1516.29 2.67209
1516.32 3.54220
1516.35 4.90698
1516.37 7.21024
1516.40 11.4917
1516.42 15.2524
1516.43 20.4996
1516.45 29.1748
1516.46 42.2429
1516.48 67.9753
1516.50 84.5600
1516.52 67.9759
1516.54 42.2438
1516.56 26.4611
1516.58 17.2459
1516.60 11.9124
1516.61 8.78279
1516.63 6.62049
1516.65 5.15477
1516.69 3.39954
1516.73 2.38246
1516.76 1.77276
1516.84 1.08929
1516.91 0.732483
1516.99 0.528170
1517.14 0.310894
1517.43 0.145214
1517.73 0.0842061
1518.33 0.0391458
1518.92 0.0230125
1520.12 0.0113007
1521.31 0.00716576
1526.08 0.00320930
1535.62 0.00244292
1545.16 0.00264119
1554.70 0.00318473
1564.24 0.00418525
1573.78 0.00617518
1578.55 0.00809465
1583.32 0.0119118
1585.71 0.0159927
1588.09 0.0256971
1589.28 0.0379944
1590.48 0.0711300
1591.07 0.116002
1591.37 0.160148
1591.67 0.239814
1591.97 0.406950
1592.12 0.569920
1592.26 0.859747
1592.34 1.09974
1592.41 1.45234
1592.49 2.01831
1592.56 2.97870
1592.64 4.86798
1592.67 6.53663
1592.71 9.22373
1592.75 14.1103
1592.79 23.6137
1592.81 32.4778
1592.82 45.9215
1592.84 69.8986
1592.86 111.029
1592.88 176.286
1592.90 221.863
1592.92 176.287
1592.94 111.031
1592.96 63.6786
1592.99 39.1413
1593.01 25.9950
1593.03 18.3616
1593.05 13.6015
1593.08 10.4555
1593.12 6.76802
1593.17 4.69380
1593.21 3.44330
1593.31 2.08905
1593.40 1.39708
1593.49 1.00461
1593.67 0.593929
1593.85 0.394056
1594.04 0.282679
1594.40 0.169794
1594.77 0.116539
1595.13 0.0875778
1595.86 0.0590961
1597.32 0.0405427
1598.79 0.0367259
1601.71 0.0425304
1604.63 0.0612143
1606.09 0.0780917
1607.55 0.104297
1609.02 0.147658
1610.48 0.226475
1611.21 0.292581
1611.94 0.392934
1612.67 0.555947
1613.03 0.678416
1613.40 0.846445
1613.77 1.08653
1613.95 1.24685
1614.13 1.44425
1614.31 1.69402
1614.50 2.01259
1614.68 2.43268
1614.86 2.99537
1615.04 3.78262
1615.23 4.92416
1615.41 6.66696
1615.59 9.49355
1615.68 11.6483
1615.77 14.5734
1615.87 18.7202
1615.96 24.8450
1616.05 34.4805
1616.14 50.2007
1616.23 77.6948
1616.32 127.313
1616.41 204.354
1616.50 255.026
1616.59 203.414
1616.68 127.287
1616.76 80.1243
1616.85 52.9673
1616.93 36.9642
1617.02 27.1192
1617.10 20.5861
1617.19 16.1152
1617.36 10.6247
1617.53 7.49320
1617.70 5.56819
1618.04 3.40973
1618.37 2.29797
1618.71 1.65224
1619.05 1.24460
1619.39 0.971036
1620.07 0.638243
1620.75 0.451296
1621.43 0.335958
1622.10 0.259840
1623.46 0.168802
1624.82 0.118513
1626.17 0.0878409
1627.53 0.0677661
1630.24 0.0439570
1632.95 0.0309145
1635.66 0.0230060
1638.37 0.0178551
1643.80 0.0117778
1649.22 0.00847782
1654.65 0.00650294
1660.07 0.00524675
1670.92 0.00389486
1681.76 0.00357770
1687.19 0.00400797
1692.61 0.00579161
1695.32 0.00848493
1698.04 0.0163082
1699.39 0.0272551
1700.75 0.0582491
1701.43 0.101044
1701.77 0.143530
1702.10 0.220591
1702.44 0.383124
1702.61 0.542935
1702.78 0.826730
1702.87 1.06218
1702.95 1.41474
1703.04 1.97689
1703.12 2.93857
1703.21 4.84643
1703.25 6.55237
1703.29 9.33248
1703.33 14.4583
1703.35 18.6010
1703.38 24.7386
1703.40 34.3035
1703.42 50.1320
1703.44 78.0626
1703.46 131.459
1703.48 211.070
1703.50 263.144
1703.52 211.071
1703.54 131.461
1703.56 76.3195
1703.59 48.2301
1703.61 32.6441
1703.63 23.3640
1703.65 17.2575
1703.67 13.3777
1703.72 8.68346
1703.76 6.02905
1703.81 4.45239
1703.90 2.70847
1703.98 1.81086
1704.07 1.29964
1704.16 0.974926
1704.25 0.760354
1704.43 0.497563
1704.60 0.351576
1704.96 0.202512
1705.31 0.131677
1705.67 0.0927488
1706.38 0.0535060
1707.79 0.0250087
1709.21 0.0149160
1712.05 0.00762493
1714.88 0.00503691
1726.22 0.00246405
1748.90 0.00182011
1771.57 0.00190024
1794.25 0.00237488
1816.93 0.00358697
1828.27 0.00484782
1839.61 0.00718424
1845.28 0.00917083
1850.95 0.0122234
1856.62 0.0172636
1862.29 0.0264713
1865.12 0.0342419
1867.96 0.0461231
1870.79 0.0656219
1873.63 0.100956
1875.04 0.130565
1876.46 0.175467
1877.17 0.207214
1877.88 0.248459
1878.59 0.303404
1879.30 0.378731
1879.65 0.427540
1880.00 0.486254
1880.36 0.558176
1880.71 0.647036
1881.07 0.759275
1881.42 0.902963
1881.78 1.09157
1882.13 1.34588
1882.49 1.70139
1882.84 2.21613
1883.19 3.00293
1883.55 4.29040
1883.73 5.27012
1883.90 6.61136
1884.08 8.52220
1884.26 11.3627
1884.43 15.8086
1884.61 23.2076
1884.79 36.3557
1884.96 60.5778
1885.13 96.9876
1885.30 121.279
1885.47 96.9665
1885.64 60.5572
1885.75 43.3372
1885.86 31.7059
1885.98 23.8615
1886.09 18.4963
1886.32 11.8852
1886.55 8.21281
1886.77 5.98268
1887.00 4.54742
1887.45 2.87301
1887.91 1.97312
1888.36 1.43795
1888.82 1.09318
1889.27 0.859234
1890.18 0.570399
1891.09 0.405959
1892.00 0.303574
1892.91 0.235616
1894.73 0.153690
1896.54 0.108161
1898.36 0.0802529
1900.18 0.0619401
1903.81 0.0401430
1907.45 0.0281721
1911.08 0.0208989
1914.72 0.0161528
1921.99 0.0105417
1929.26 0.00748045
1936.53 0.00563106
1943.80 0.00443178
1958.34 0.00303682
1972.88 0.00233989
1980.15 0.00218615
1987.42 0.00228174
1994.69 0.00373218
1998.33 0.0100470
1999.24 0.0165739
2000.15 0.0349629
2000.60 0.0602485
2001.05 0.130104
2001.28 0.223909
2001.51 0.475086
2001.62 0.800633
2001.68 1.10547
2001.74 1.61116
2001.79 2.58243
2001.82 3.44810
2001.85 4.76293
2001.88 7.07495
2001.91 11.2459
2001.92 14.7482
2001.93 19.9660
2001.95 27.9615
2001.96 40.5798
2001.98 64.7240
2002.00 81.1667
2002.02 64.7246
2002.04 40.5805
2002.06 25.9434
2002.07 17.0887
2002.09 11.8897
2002.11 8.67231
2002.13 6.57355
2002.15 5.14004
2002.18 3.41181
2002.22 2.40057
2002.25 1.79189
2002.32 1.09888
2002.39 0.737747
2002.47 0.531425
2002.61 0.313311
2002.89 0.146158
2003.18 0.0846182
2003.75 0.0392034
2004.32 0.0229145
2006.60 0.00683932
2011.15 0.00268804
2020.27 0.00155106
2029.39 0.00127847
2038.50 0.00115343
2056.73 0.00111591
2065.85 0.00153728
2070.41 0.00338698
2072.68 0.0107221
2073.82 0.0389727
2074.11 0.0671619
2074.39 0.143740
2074.54 0.244715
2074.68 0.503683
2074.75 0.821250
2074.82 1.56365
2074.86 2.38653
2074.89 3.97520
2074.91 5.45062
2074.93 7.83560
2074.95 11.8999
2074.96 18.6740
2074.98 29.7336
2075.00 37.3113
2075.02 29.7338
2075.04 18.6743
2075.05 12.1995
2075.07 8.18530
2075.09 5.77033
2075.10 4.32144
2075.14 2.61917
2075.17 1.74421
2075.24 0.918685
2075.30 0.567813
2075.44 0.276856
2075.57 0.163415
2075.84 0.0765267
2076.10 0.0444227
2077.16 0.0121479
2079.29 0.00372519
2083.55 0.00156338
2092.05 0.000996703
2109.07 0.000826835
2143.10 0.000780719
2177.13 0.000947106
2194.15 0.00169593
2202.65 0.00467708
2204.78 0.00775090
2206.91 0.0164714
2207.97 0.0285790
2209.03 0.0626545
2209.57 0.109545
2210.10 0.239420
2210.36 0.414884
2210.50 0.585630
2210.63 0.888403
2210.76 1.50431
2210.83 2.08971
2210.90 3.07487
2210.96 4.99560
2211.00 6.66998
2211.03 9.33192
2211.06 13.9125
2211.09 22.6844
2211.11 30.5936
2211.13 42.0600
2211.14 61.5909
2211.16 91.7381
2211.18 146.415
2211.20 183.327
2211.22 146.415
2211.24 91.7393
2211.26 57.3991
2211.28 37.1608
2211.30 25.5439
2211.32 18.4719
2211.34 13.9133
2211.36 10.8272
