Ba-134(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
1368.75 3.36928
1398.16 3.25371
1412.86 3.20424
1427.56 3.15832
1442.26 3.11553
1449.61 3.09854
1451.45 3.09779
1453.28 3.10541
1454.20 3.12063
1455.12 3.16813
1455.58 3.23555
1455.81 3.30271
1456.04 3.42352
1456.27 3.67697
1456.39 3.92252
1456.50 4.35039
1456.56 4.70421
1456.62 5.21677
1456.67 6.03147
1456.73 7.38091
1456.79 9.96365
1456.82 12.2082
1456.85 15.5723
1456.87 21.3769
1456.90 31.5601
1456.92 40.5978
1456.93 53.0179
1456.95 71.4933
1456.96 99.4241
1456.98 158.357
1457.00 195.598
1457.02 158.332
1457.04 99.3928
1457.06 71.4634
1457.07 51.9338
1457.09 39.1557
1457.10 31.0488
1457.13 20.8436
1457.16 15.2603
1457.19 11.9156
1457.22 9.76704
1457.27 7.27840
1457.33 5.95222
1457.39 5.16488
1457.45 4.66018
1457.51 4.31763
1457.62 3.89605
1457.74 3.65640
1457.97 3.40824
1458.20 3.28885
1458.43 3.22225
1458.90 3.15409
1459.83 3.10265
1460.75 3.08266
1462.61 3.06482
1464.47 3.05506
1471.90 3.02925
1486.75 2.98418
1501.61 2.93788
1509.03 2.91483
1512.75 2.90890
1513.68 2.91277
1514.61 2.92960
1515.07 2.95555
1515.53 3.03027
1515.77 3.13200
1515.88 3.23094
1516.00 3.40578
1516.11 3.75893
1516.17 4.08862
1516.23 4.64651
1516.29 5.70073
1516.32 6.61755
1516.35 8.05566
1516.37 10.4828
1516.40 14.9947
1516.42 18.9578
1516.43 24.4876
1516.45 33.6300
1516.46 47.4021
1516.48 74.5213
1516.50 92.0006
1516.52 74.5240
1516.54 47.4055
1516.56 30.7722
1516.58 21.0603
1516.60 15.4393
1516.61 12.1408
1516.63 9.86182
1516.65 8.31698
1516.69 6.46693
1516.73 5.39482
1516.76 4.75208
1516.84 4.03142
1516.91 3.65506
1516.99 3.43943
1517.14 3.20984
1517.43 3.03409
1517.73 2.96866
1518.33 2.91893
1518.92 2.89969
1520.12 2.88284
1521.31 2.87393
1526.08 2.85097
1535.62 2.80914
1545.16 2.76206
1554.70 2.70612
1564.24 2.63638
1573.78 2.54413
1578.55 2.48484
1583.32 2.41301
1585.71 2.37198
1588.09 2.33049
1589.28 2.31481
1590.48 2.31934
1591.07 2.35113
1591.37 2.39019
1591.67 2.46736
1591.97 2.63861
1592.12 2.80975
1592.26 3.11756
1592.34 3.37390
1592.41 3.75162
1592.49 4.35924
1592.56 5.39196
1592.64 7.42567
1592.67 9.22277
1592.71 12.1174
1592.75 17.3824
1592.79 27.6225
1592.81 37.1743
1592.82 51.6613
1592.84 77.4992
1592.86 121.822
1592.88 192.143
1592.90 241.256
1592.92 192.140
1592.94 121.817
1592.96 70.7883
1592.99 44.3459
1593.01 30.1786
1593.03 21.9521
1593.05 16.8219
1593.08 13.4312
1593.12 9.45611
1593.17 7.21949
1593.21 5.87049
1593.31 4.40822
1593.40 3.65954
1593.49 3.23360
1593.67 2.78494
1593.85 2.56329
1594.04 2.43690
1594.40 2.30226
1594.77 2.23145
1595.13 2.18645
1595.86 2.12689
1597.32 2.04339
1598.79 1.96685
1601.71 1.79236
1604.63 1.56053
1606.09 1.41175
1607.55 1.23377
1609.02 1.02175
1610.48 0.782313
1611.21 0.666782
1611.94 0.582305
1612.67 0.592634
1613.03 0.679459
1613.40 0.874133
1613.77 1.26048
1613.95 1.57092
1614.13 1.99750
1614.31 2.59345
1614.50 3.42521
1614.68 4.61678
1614.86 6.33992
1615.04 8.92904
1615.23 12.9437
1615.41 19.4725
1615.59 30.7132
1615.68 39.6408
1615.77 52.1041
1615.87 70.2642
1615.96 97.8252
1616.05 142.388
1616.14 217.144
1616.23 351.759
1616.32 602.863
1616.41 1010.88
1616.50 1316.32
1616.59 1095.28
1616.68 714.163
1616.76 467.283
1616.85 320.900
1616.93 232.509
1617.02 176.929
1617.10 139.286
1617.19 113.018
1617.36 79.8946
1617.53 60.3192
1617.70 47.8715
1618.04 33.2680
1618.37 25.2729
1618.71 20.3566
1619.05 17.0816
1619.39 14.7692
1620.07 11.7580
1620.75 9.90916
1621.43 8.67163
1622.10 7.79103
1623.46 6.62930
1624.82 5.90233
1626.17 5.40684
1627.53 5.04833
1630.24 4.56511
1632.95 4.25470
1635.66 4.03825
1638.37 3.87845
1643.80 3.65715
1649.22 3.50992
1654.65 3.40371
1660.07 3.32255
1670.92 3.20419
1681.76 3.11934
1687.19 3.08479
1692.61 3.05503
1695.32 3.04313
1698.04 3.03741
1699.39 3.04247
1700.75 3.06970
1701.43 3.11341
1701.77 3.15850
1702.10 3.24169
1702.44 3.41908
1702.61 3.59435
1702.78 3.90632
1702.87 4.16545
1702.95 4.55371
1703.04 5.17310
1703.12 6.23310
1703.21 8.33663
1703.25 10.2178
1703.29 13.2838
1703.33 18.9372
1703.35 23.5066
1703.38 30.2765
1703.40 40.8271
1703.42 58.2874
1703.44 89.0985
1703.46 148.004
1703.48 235.833
1703.50 293.292
1703.52 235.856
1703.54 148.033
1703.56 87.1998
1703.59 56.2097
1703.61 39.0137
1703.63 28.7746
1703.65 22.0367
1703.67 17.7557
1703.72 12.5757
1703.76 9.64636
1703.81 7.90622
1703.90 5.98114
1703.98 4.98997
1704.07 4.42522
1704.16 4.06632
1704.25 3.82899
1704.43 3.53794
1704.60 3.37586
1704.96 3.20948
1705.31 3.12949
1705.67 3.08477
1706.38 3.03801
1707.79 2.99983
1709.21 2.98211
1712.05 2.96118
1714.88 2.94575
1726.22 2.89477
1748.90 2.80182
1771.57 2.70451
1794.25 2.58808
1816.93 2.42681
1828.27 2.31208
1839.61 2.15346
1845.28 2.04721
1850.95 1.91275
1856.62 1.73627
1862.29 1.49414
1865.12 1.33638
1867.96 1.14464
1870.79 0.910485
1873.63 0.631275
1875.04 0.482615
1876.46 0.348136
1877.17 0.299282
1877.88 0.277377
1878.59 0.303560
1879.30 0.415306
1879.65 0.523496
1880.00 0.683172
1880.36 0.914960
1880.71 1.24606
1881.07 1.72083
1881.42 2.40107
1881.78 3.38905
1882.13 4.84969
1882.49 7.07193
1882.84 10.5514
1883.19 16.2722
1883.55 26.2969
1883.73 34.2898
1883.90 45.5841
1884.08 62.1812
1884.26 87.6193
1884.43 128.668
1884.61 199.129
1884.79 328.464
1884.96 575.631
1885.13 965.837
1885.30 1264.49
1885.47 1057.52
1885.64 690.212
1885.75 508.695
1885.86 383.131
1885.98 296.723
1886.09 236.546
1886.32 160.633
1886.55 117.144
1886.77 89.9607
1887.00 71.9783
1887.45 50.2094
1887.91 37.9121
1888.36 30.2468
1888.82 25.0835
1889.27 21.4277
1890.18 16.6472
1891.09 13.7113
1892.00 11.7501
1892.91 10.3602
1894.73 8.53351
1896.54 7.39916
1898.36 6.63071
1900.18 6.07837
1903.81 5.33929
1907.45 4.86916
1911.08 4.54407
1914.72 4.30582
1921.99 3.97938
1929.26 3.76532
1936.53 3.61316
1943.80 3.49868
1958.34 3.33589
1972.88 3.22347
1980.15 3.17871
1987.42 3.13951
1994.69 3.10591
1998.33 3.09617
1999.24 3.09896
2000.15 3.11402
2000.60 3.13817
2001.05 3.20832
2001.28 3.30418
2001.51 3.56250
2001.62 3.89811
2001.68 4.21260
2001.74 4.73450
2001.79 5.73717
2001.82 6.63095
2001.85 7.98858
2001.88 10.3760
2001.91 14.6832
2001.92 18.3001
2001.93 23.6885
2001.95 31.9459
2001.96 44.9777
2001.98 69.9140
2002.00 86.8981
2002.02 69.9191
2002.04 44.9839
2002.06 29.8667
2002.07 20.7212
2002.09 15.3514
2002.11 12.0282
2002.13 9.86036
2002.15 8.37961
2002.18 6.59432
2002.22 5.54960
2002.25 4.92068
2002.32 4.20447
2002.39 3.83108
2002.47 3.61762
2002.61 3.39166
2002.89 3.21774
2003.18 3.15296
2003.75 3.10367
2004.32 3.08451
2006.60 3.05878
2011.15 3.03703
2020.27 3.00344
2029.39 2.97351
2038.50 2.94598
2056.73 2.89632
2065.85 2.87399
2070.41 2.86495
2072.68 2.86719
2073.82 2.89380
2074.11 2.92231
2074.39 3.00081
2074.54 3.10478
2074.68 3.37184
2074.75 3.69945
2074.82 4.46536
2074.86 5.31423
2074.89 6.95296
2074.91 8.47474
2074.93 10.9345
2074.95 15.1259
2074.96 22.1113
2074.98 33.5143
2075.00 41.3237
2075.02 33.5062
2075.04 22.1011
2075.05 15.4250
2075.07 11.2863
2075.09 8.79664
2075.10 7.30302
2075.14 5.54833
2075.17 4.64650
2075.24 3.79569
2075.30 3.43407
2075.44 3.13412
2075.57 3.01704
2075.84 2.92704
2076.10 2.89343
2077.16 2.85786
2079.29 2.84437
2083.55 2.83254
2092.05 2.81316
2109.07 2.77693
2143.10 2.70908
2177.13 2.64441
2194.15 2.61311
2202.65 2.60024
2204.78 2.59954
2206.91 2.60498
2207.97 2.61613
2209.03 2.65121
2209.57 2.70128
2210.10 2.84183
2210.36 3.03264
2210.50 3.21860
2210.63 3.54857
2210.76 4.22016
2210.83 4.85866
2210.90 5.93333
2210.96 8.02883
2211.00 9.85569
2211.03 12.7602
2211.06 17.7583
2211.09 27.3303
2211.11 35.9611
2211.13 48.4740
2211.14 69.7877
2211.16 102.688
2211.18 162.359
2211.20 202.648
2211.22 162.372
2211.24 102.704
2211.26 65.2269
2211.28 43.1393
2211.30 30.4607
2211.32 22.7421
2211.34 17.7666
2211.36 14.3981
2211.40 10.2896
2211.44 7.98905
2211.48 6.57809
2211.56 5.01396
2211.64 4.21410
2211.72 3.75162
2211.88 3.26762
2212.04 3.02997
2212.20 2.89737
2212.52 2.76089
2213.16 2.65940
2213.79 2.62228
2215.07 2.59376
2216.35 2.58207
2221.46 2.56327
2231.67 2.54131
2252.10 2.50068
2272.53 2.45934
2282.75 2.43859
2287.86 2.43002
2290.41 2.43350
2291.69 2.46549
2292.01 2.49959
2292.32 2.59390
2292.48 2.71951
2292.64 3.04541
2292.72 3.45373
2292.80 4.43238
2292.84 5.52867
2292.88 7.79001
2292.90 9.91817
2292.92 13.4805
2292.94 19.8579
2292.96 31.3840
2292.98 48.4420
2293.00 60.3005
2293.02 48.4501
2293.04 31.3940
2293.06 19.0380
2293.08 12.8199
2293.10 9.41218
2293.12 7.40080
2293.17 5.25222
2293.21 4.25095
2293.29 3.35288
2293.38 2.98149
2293.55 2.68542
2293.72 2.57238
2294.06 2.48660
2294.40 2.45485
2295.76 2.42085
2298.47 2.40688
2303.91 2.39285
2314.78 2.36787
2336.52 2.31643
2380.00 2.20136
2423.48 2.06218
2445.22 1.97945
2456.09 1.93428
2461.53 1.91289
2464.25 1.91168
2464.93 1.92005
2465.60 1.94912
2465.94 1.99155
2466.28 2.11011
2466.45 2.26891
2466.62 2.68719
2466.71 3.21297
2466.75 3.69996
2466.79 4.48507
2466.84 5.94958
2466.88 8.94212
2466.90 11.7826
2466.92 16.5838
2466.94 25.3089
2466.96 41.9754
2466.98 65.9486
2467.00 82.0394
2467.02 65.9571
2467.04 41.9860
2467.06 24.7648
2467.08 16.0078
2467.10 11.2917
2467.13 8.54251
2467.17 5.68405
2467.21 4.32454
2467.26 3.56607
2467.30 3.11961
2467.39 2.62977
2467.57 2.23743
2467.74 2.08846
2468.10 1.97459
2468.45 1.93194
2469.16 1.89845
2469.86 1.88430
2472.69 1.85996
2478.34 1.82880
2489.64 1.76725
2512.24 1.62605
2534.85 1.45013
2557.45 1.22253
2580.05 0.915536
2591.36 0.720034
2602.66 0.491381
2613.96 0.240246
2619.61 0.125331
2622.44 0.0806246
2625.26 0.0531436
2628.09 0.0545719
2629.50 0.0717499
2630.91 0.104269
2632.32 0.156784
2633.74 0.235410
2635.15 0.348407
2636.56 0.506910
2637.98 0.726731
2639.39 1.02974
2640.80 1.44749
2642.21 2.02582
2643.63 2.83536
2645.04 3.98350
2646.45 5.64945
