Nd-148(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
771.379 0.0346070
773.354 0.0359835
775.328 0.0431736
776.315 0.0545853
776.809 0.0663636
777.302 0.0882021
777.796 0.135308
778.043 0.182342
778.290 0.268022
778.413 0.340054
778.536 0.449757
778.660 0.628774
778.783 0.950554
778.845 1.21765
778.907 1.61944
778.968 2.26425
779.030 3.39558
779.092 5.65844
779.123 7.75443
779.153 11.2527
779.184 17.7806
779.200 23.3466
779.215 31.9210
779.223 38.1287
779.231 46.1425
779.238 56.8366
779.246 71.4584
779.250 80.9521
779.254 91.9808
779.258 105.566
779.261 121.543
779.265 141.429
779.269 164.975
779.277 229.121
779.283 293.722
779.288 366.892
779.300 458.210
779.306 431.365
779.312 366.885
779.323 229.113
779.335 143.120
779.346 93.9031
779.357 65.1839
779.368 47.4784
779.380 35.9565
779.391 28.0995
779.414 18.4754
779.436 13.0157
779.459 9.66306
779.504 5.91621
779.549 3.98740
779.594 2.87175
779.639 2.16800
779.684 1.69598
779.775 1.12163
779.865 0.799590
779.955 0.600948
780.045 0.469865
780.226 0.313023
780.406 0.226388
780.587 0.173531
780.767 0.138930
781.128 0.0978031
781.489 0.0752032
782.211 0.0523884
782.933 0.0415711
783.655 0.0355195
785.098 0.0291666
787.986 0.0238894
790.873 0.0214147
802.423 0.0170853
813.973 0.0154053
825.523 0.0153341
837.073 0.0175953
842.848 0.0205565
848.623 0.0264010
854.398 0.0393881
857.286 0.0525070
860.173 0.0765619
861.617 0.0968871
863.061 0.127975
864.504 0.179000
865.948 0.271473
866.670 0.348878
867.392 0.466291
867.753 0.549224
868.114 0.656882
868.294 0.723206
868.475 0.800202
868.655 0.890393
868.836 0.996848
869.016 1.12387
869.197 1.27702
869.377 1.46399
869.558 1.69534
869.738 1.98663
869.918 2.36002
870.099 2.84998
870.279 3.50958
870.460 4.42789
870.640 5.75833
870.821 7.78725
871.001 11.0939
871.092 13.5883
871.182 17.0047
871.272 21.8509
871.362 29.0137
871.452 40.1535
871.543 58.4769
871.633 90.5401
871.723 148.424
871.812 237.458
871.900 296.783
871.989 237.399
872.077 148.367
872.141 103.806
872.206 74.5375
872.270 55.2849
872.334 42.2843
872.463 26.7101
872.591 18.2587
872.720 13.2166
872.848 9.99146
873.106 6.26665
873.363 4.28813
873.620 3.11604
873.877 2.36587
874.134 1.85733
874.648 1.23232
875.162 0.877628
875.677 0.657278
876.191 0.511125
877.219 0.335449
878.248 0.237936
879.276 0.178272
880.304 0.139140
882.361 0.0926421
884.418 0.0671489
886.475 0.0517076
888.532 0.0416885
892.645 0.0300970
896.759 0.0245926
898.816 0.0237946
900.873 0.0260019
901.901 0.0307555
902.929 0.0456817
903.444 0.0670489
903.701 0.0885685
903.958 0.128042
904.215 0.212566
904.344 0.296678
904.472 0.449364
904.601 0.772451
904.665 1.08981
904.729 1.65733
904.761 2.12833
904.793 2.83246
904.826 3.96134
904.858 5.92365
904.890 9.82370
904.906 13.3949
904.922 19.2648
904.938 30.0500
904.946 39.0440
904.954 52.6203
904.962 74.6735
904.970 112.183
904.978 181.958
904.986 320.615
904.993 511.680
905.000 641.009
905.007 511.681
905.014 320.385
905.020 212.356
905.025 145.757
905.031 104.501
905.037 77.9146
905.049 47.5407
905.060 31.7874
905.072 22.6729
905.083 16.9574
905.107 10.4880
905.130 7.11472
905.153 5.14000
905.176 3.88657
905.199 3.04200
905.246 2.01037
905.292 1.42848
905.339 1.06846
905.385 0.830786
905.478 0.545219
905.570 0.387285
905.756 0.227455
905.941 0.152269
906.127 0.111029
906.498 0.0695994
907.240 0.0395355
907.982 0.0287591
909.466 0.0207152
910.950 0.0176206
916.887 0.0137553
928.760 0.0119423
952.507 0.0123249
976.254 0.0160681
988.127 0.0200606
1000.00 0.0270953
1013.21 0.0432254
1019.81 0.0590423
1021.46 0.0645539
1023.11 0.0709572
1023.94 0.0745611
1024.76 0.0784660
1025.59 0.0827117
1026.00 0.0849778
1026.41 0.0873393
1027.24 0.0924025
1028.06 0.0979439
1028.89 0.104041
1029.71 0.110755
1030.54 0.118189
1031.36 0.126430
1033.01 0.145881
1034.66 0.170462
1036.31 0.202106
1037.97 0.243862
1039.62 0.300467
1041.27 0.379996
1042.92 0.496606
1044.57 0.677376
1046.22 0.978959
1047.04 1.21180
1047.87 1.53767
1048.69 2.01304
1049.52 2.74242
1050.35 3.93710
1051.17 6.05308
1051.58 7.75528
1052.00 10.1802
1052.41 13.7133
1052.82 18.8138
1053.46 30.0220
1054.10 37.4440
1054.74 29.9752
1055.38 18.7686
1055.85 13.1256
1056.31 9.42023
1056.78 6.98431
1057.25 5.34333
1058.18 3.37414
1059.11 2.30689
1060.05 1.67047
1060.98 1.26377
1062.85 0.794357
1064.72 0.545291
1066.58 0.397907
1068.45 0.303700
1070.32 0.239962
1074.05 0.161800
1077.78 0.117701
1081.52 0.0905470
1085.25 0.0727838
1092.72 0.0521261
1100.19 0.0416927
1115.12 0.0350019
1130.06 0.0411165
1137.52 0.0510007
1144.99 0.0705762
1148.72 0.0873781
1150.59 0.0987630
1152.46 0.112994
1153.39 0.121477
1154.33 0.131068
1155.26 0.141990
1156.19 0.154468
1156.66 0.161396
1157.13 0.168839
1158.06 0.185466
1158.99 0.204861
1159.93 0.227668
1160.86 0.254764
1161.79 0.287211
1162.73 0.326596
1163.66 0.374924
1164.59 0.435240
1165.53 0.511656
1166.46 0.610640
1167.39 0.741635
1168.33 0.920353
1169.26 1.17215
1170.19 1.54311
1171.13 2.11839
1172.06 3.07600
1172.99 4.81395
1173.46 6.24616
1173.93 8.33398
1174.39 11.4609
1174.86 16.1178
1175.53 25.7216
1176.20 32.0835
1176.87 25.6839
1177.54 16.0813
1178.03 11.2535
1178.52 8.08115
1179.00 5.99427
1179.49 4.58521
1180.47 2.89757
1181.44 1.98227
1182.42 1.43624
1183.40 1.08689
1185.35 0.684055
1187.30 0.470218
1189.25 0.343841
1193.15 0.208920
1197.05 0.143826
1200.96 0.112507
1202.91 0.109059
1204.86 0.126087
1205.84 0.159865
1206.32 0.195969
1206.81 0.263442
1207.30 0.409520
1207.54 0.554914
1207.79 0.818203
1207.91 1.03807
1208.03 1.37060
1208.15 1.90792
1208.28 2.85982
1208.34 3.63837
1208.40 4.79261
1208.46 6.60836
1208.52 9.70319
1208.55 12.1859
1208.58 15.6171
1208.60 18.0691
1208.61 20.9271
1208.63 24.5113
1208.64 29.0849
1208.66 35.4971
1208.67 43.5871
1208.69 54.6751
1208.70 70.3527
1208.72 93.3168
1208.73 128.257
1208.75 183.258
1208.76 272.691
1208.78 434.876
1208.80 545.309
1208.81 509.464
1208.82 434.863
1208.84 272.678
1208.86 174.348
1208.87 117.379
1208.89 83.0078
1208.91 61.2830
1208.92 46.1930
1208.94 36.4365
1208.98 24.2402
1209.01 17.0821
1209.04 12.7712
1209.11 7.90462
1209.18 5.34497
1209.25 3.85832
1209.32 2.91984
1209.39 2.29760
1209.53 1.52783
1209.66 1.09806
1209.80 0.832144
1209.94 0.656217
1210.21 0.444579
1210.49 0.327670
1211.03 0.208618
1211.58 0.151925
1212.13 0.120342
1213.23 0.0874972
1215.43 0.0611671
1217.62 0.0496842
1222.02 0.0381980
1226.41 0.0319025
1235.20 0.0255082
1239.59 0.0271219
1240.69 0.0306919
1241.79 0.0417522
1242.34 0.0575398
1242.89 0.102544
1243.16 0.165005
1243.30 0.226867
1243.44 0.339018
1243.57 0.577935
1243.64 0.813136
1243.71 1.22731
1243.78 2.09420
1243.81 2.91098
1243.85 4.32313
1243.88 7.20146
1243.90 9.75827
1243.92 13.9469
1243.93 21.4813
1243.94 28.1510
1243.95 36.9702
1243.96 52.5938
1243.97 75.7348
1243.98 122.422
1243.98 198.928
1243.99 318.284
1244.00 397.858
1244.01 318.283
1244.02 198.928
1244.02 129.752
1244.03 88.1156
1244.04 62.6896
1244.04 48.3991
1244.06 29.0752
1244.07 19.7715
1244.08 13.9477
1244.10 10.5570
1244.12 6.53494
1244.15 4.43702
1244.18 3.20863
1244.21 2.42880
1244.23 1.91954
1244.29 1.26999
1244.34 0.904305
1244.45 0.531371
1244.55 0.351550
1244.66 0.252916
1244.88 0.152858
1245.31 0.0795270
1245.73 0.0534632
1246.59 0.0344765
1247.45 0.0276288
1249.17 0.0224404
1250.89 0.0203758
1257.76 0.0176042
1271.50 0.0166553
1285.25 0.0185905
1292.12 0.0214542
1295.55 0.0256111
1297.27 0.0366434
1297.70 0.0472673
1298.13 0.0767511
1298.34 0.117319
1298.56 0.229756
1298.67 0.384170
1298.77 0.802388
1298.83 1.36103
1298.85 1.89708
1298.88 2.78646
1298.91 4.58894
1298.92 6.30497
1298.93 8.92402
1298.95 14.0496
1298.96 18.3992
1298.96 23.8938
1298.97 33.8757
1298.97 47.8920
1298.98 76.5867
1298.99 122.564
1298.99 200.706
1299.00 244.630
