55-Cs_n-tot
> 55-Cs-133:1.000000
8.885880e+01 3.56057000e+00
8.888270e+01 3.95283000e+00
8.890660e+01 4.81157000e+00
8.891860e+01 5.63637000e+00
8.893050e+01 6.95444000e+00
8.894530e+01 9.37002000e+00
8.896000e+01 1.09800000e+01
8.897480e+01 9.36980000e+00
8.898950e+01 6.95321000e+00
8.899960e+01 5.79703000e+00
8.900980e+01 5.01912000e+00
8.903000e+01 4.13749000e+00
8.905030e+01 3.69907000e+00
8.907050e+01 3.45659000e+00
8.911100e+01 3.21526000e+00
8.915150e+01 3.10451000e+00
8.931360e+01 2.96976000e+00
8.963770e+01 2.92920000e+00
9.028580e+01 2.95636000e+00
9.093400e+01 3.08049000e+00
9.158210e+01 3.39864000e+00
9.190620e+01 3.71096000e+00
9.223030e+01 4.22936000e+00
9.255430e+01 5.13967000e+00
9.287840e+01 6.88228000e+00
9.304040e+01 8.38599000e+00
9.320250e+01 1.07031000e+01
9.336450e+01 1.45002000e+01
9.352660e+01 2.12726000e+01
9.360760e+01 2.68031000e+01
9.368860e+01 3.49464000e+01
9.376960e+01 4.75790000e+01
9.385060e+01 6.85708000e+01
9.393170e+01 1.06898000e+02
9.397220e+01 1.38919000e+02
9.401270e+01 1.86994000e+02
9.405320e+01 2.63100000e+02
9.409370e+01 3.91480000e+02
9.413420e+01 6.23478000e+02
9.417470e+01 1.05974000e+03
9.421240e+01 1.71296000e+03
9.425000e+01 2.16403000e+03
9.428770e+01 1.74986000e+03
9.432530e+01 1.10594000e+03
9.436960e+01 6.36421000e+02
9.441400e+01 3.96467000e+02
9.445830e+01 2.67183000e+02
9.450260e+01 1.91687000e+02
9.454700e+01 1.44310000e+02
9.459130e+01 1.12813000e+02
9.468000e+01 7.49764000e+01
9.476860e+01 5.40160000e+01
9.485730e+01 4.12021000e+01
9.503460e+01 2.69601000e+01
9.521200e+01 1.95996000e+01
9.538930e+01 1.52809000e+01
9.556670e+01 1.25164000e+01
9.574400e+01 1.06315000e+01
9.609870e+01 8.28085000e+00
9.645330e+01 6.91026000e+00
9.680800e+01 6.03132000e+00
9.716270e+01 5.42791000e+00
9.787200e+01 4.66370000e+00
