Ta-181(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
57.9316 8.34570
58.0224 8.11694
58.1133 7.97947
58.2950 7.82732
58.4767 7.76106
58.6585 7.79011
58.7493 7.90004
58.7948 8.02213
58.8402 8.24637
58.8856 8.69865
58.9083 9.10859
58.9310 9.77050
58.9538 10.9248
58.9765 13.1552
58.9878 15.1023
58.9992 18.1059
59.0106 22.9080
59.0219 30.6494
59.0360 45.0846
59.0500 55.1759
59.0641 46.1770
59.0781 32.0089
59.0938 22.0361
59.1094 16.7455
59.1251 13.8118
59.1407 12.0643
59.1564 10.9505
59.1720 10.2014
59.2033 9.28860
59.2346 8.77400
59.2660 8.45420
59.3286 8.08994
59.3912 7.89387
59.4538 7.77304
59.5790 7.63135
59.8295 7.49113
60.0799 7.41191
60.5808 7.31385
61.0818 7.27403
61.5827 7.35634
61.8331 7.52063
62.0836 7.90524
62.2088 8.27264
62.3340 8.87438
62.4593 9.91859
62.5845 11.8933
62.6471 13.5811
62.7097 16.1603
62.7723 20.3451
62.8350 27.7091
62.8976 42.2918
62.9289 55.4980
62.9602 76.9810
62.9915 115.035
63.0071 145.850
63.0228 190.737
63.0385 259.032
63.0541 367.937
63.0698 550.100
63.0854 860.600
63.1027 1389.46
63.1200 1755.80
63.1373 1421.98
63.1546 901.257
63.1680 624.696
63.1813 446.767
63.1946 331.655
63.2080 254.982
63.2347 164.159
63.2614 115.273
63.2881 86.2163
63.3147 67.6046
63.3681 46.0277
63.4215 34.4508
63.4749 27.5083
63.5283 23.0049
63.5816 19.9087
63.6884 16.0216
63.7951 13.7472
63.9019 12.2891
64.0086 11.2908
64.2222 10.0337
64.4357 9.28736
64.6492 8.79766
64.8627 8.45232
65.2897 7.99469
65.7167 7.69907
66.5707 7.31886
67.4248 7.06026
68.2788 6.85219
69.9869 6.48920
71.6949 6.12554
72.5490 5.92608
73.4030 5.70850
74.2570 5.48126
74.6840 5.38433
75.1110 5.34704
75.5381 5.52112
75.7516 5.84411
75.9651 6.60220
76.0718 7.33048
76.1786 8.52832
76.2853 10.6154
76.3921 14.5759
76.4455 17.9672
76.4989 23.1555
76.5522 31.5766
76.5789 37.8633
76.6056 46.3905
76.6323 58.3262
76.6590 75.6722
76.6857 102.112
76.7124 144.953
76.7390 220.354
76.7524 281.036
76.7657 368.751
76.7791 500.942
76.7924 708.946
76.8058 1050.66
76.8191 1620.50
76.8346 2629.96
76.8500 3336.32
76.8655 2707.91
76.8809 1718.02
76.8923 1209.74
76.9037 875.584
76.9151 655.616
76.9265 506.870
76.9493 328.109
76.9721 230.479
76.9949 171.911
77.0177 134.184
77.0633 90.3188
77.1089 66.9315
77.1545 53.2425
77.2457 39.8296
77.3369 36.9636
77.3825 39.4076
77.4281 46.1834
77.4737 61.6977
77.4965 76.2130
77.5193 99.8040
77.5421 140.796
77.5649 219.084
77.5763 286.407
77.5877 388.696
77.5991 549.044
77.6105 801.826
77.6253 1288.01
77.6400 1624.01
77.6548 1315.89
77.6695 836.289
77.6793 611.153
77.6891 456.672
77.7086 277.402
77.7282 185.902
77.7477 134.300
77.7673 102.613
77.7868 81.8461
77.8259 57.1595
77.8651 43.5511
77.9042 35.2034
77.9824 25.7984
78.0606 20.8009
78.1388 17.7777
78.2953 14.4385
78.4517 12.9322
78.5299 12.7249
78.6081 13.0593
78.6864 14.5011
78.7255 16.1394
78.7646 19.1350
78.8037 25.0726
78.8232 30.3395
78.8428 38.6424
78.8624 52.6239
78.8819 78.2138
78.9015 130.187
78.9112 176.266
78.9210 244.921
78.9283 313.746
78.9355 393.479
78.9500 498.583
78.9645 407.737
78.9790 262.660
78.9944 163.833
79.0097 109.556
79.0251 78.6939
79.0404 59.9673
79.0557 47.8677
79.0711 39.6405
79.1018 29.5111
79.1325 23.7352
79.1632 20.1175
79.2246 15.9640
79.2859 13.7152
79.3473 12.3294
79.4701 10.7216
79.5929 9.80926
79.7157 9.20976
79.9612 8.44422
80.4523 7.60829
