V-51(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
33586.3 9.06623
33587.2 13.7539
33588.1 20.1951
33589.1 27.3266
33590.0 32.6730
33591.9 33.0975
33593.8 27.0261
33595.7 21.5640
33597.6 17.8677
33599.5 15.3802
33601.4 13.6484
33603.4 12.3887
33605.3 11.4491
33609.1 10.1457
33613.0 9.29061
33616.8 8.69279
33624.5 7.91343
33632.2 7.42877
33639.9 7.09921
33655.2 6.67815
33670.6 6.41920
33686.0 6.24237
33716.7 6.01285
33747.5 5.86650
33778.2 5.76189
33839.7 5.61540
33962.7 5.42739
34085.6 5.29226
34577.5 4.88667
35561.2 4.19541
36544.9 3.48666
36790.8 3.29556
37036.8 3.09932
37159.7 3.00448
37282.7 2.92995
37344.2 2.92374
37374.9 2.94484
37405.7 3.00470
37436.4 3.15592
37451.8 3.30981
37467.2 3.57961
37482.5 4.09858
37490.2 4.55115
37497.9 5.25597
37505.6 6.43078
37513.3 8.55573
37517.1 10.3007
37521.0 12.8293
37524.8 16.5795
37528.6 22.1318
37534.3 33.9649
37540.0 41.9517
37545.7 34.1991
37551.4 22.4276
37555.0 17.1374
37558.6 13.4560
37565.8 9.10825
37573.0 6.85345
37580.2 5.56901
37587.4 4.77629
37594.6 4.25463
37609.0 3.63257
37623.4 3.28707
37637.8 3.07293
37666.5 2.82465
37695.3 2.68336
37724.1 2.58833
37781.7 2.45719
37896.9 2.27192
38012.0 2.11106
38242.4 1.78760
38472.7 1.43874
38703.0 1.07988
38818.2 0.926488
38933.4 0.841942
39048.5 0.933032
39106.1 1.11609
39163.7 1.46624
39221.3 2.08590
39278.8 3.14330
39336.4 4.90878
39394.0 7.78326
39421.7 9.70418
39435.6 10.8241
39442.5 11.4575
39446.0 11.8966
39447.7 12.4202
39448.6 13.2561
39449.0 14.3169
39449.4 16.8083
39450.0 21.7108
39450.6 16.9818
39451.2 14.0260
39451.8 13.1519
39453.1 12.7086
39455.6 12.7094
39460.6 13.1093
39470.5 14.0802
39490.4 16.2030
39530.3 20.8249
39610.0 28.7269
39718.0 29.2364
39826.0 23.3421
39905.4 19.3404
39984.7 16.2788
40064.1 14.0013
40143.5 12.2915
40302.2 9.95486
40461.0 8.46155
40619.7 7.43258
40778.4 6.68072
40857.8 6.37680
40937.2 6.11474
40976.9 6.00469
40996.7 5.95998
41016.6 5.92976
41036.4 5.93298
41046.3 5.96398
41056.2 6.04080
41066.2 6.22388
41071.1 6.40526
41076.1 6.71778
41081.0 7.30729
41083.5 7.81208
41086.0 8.58624
41088.5 9.84582
41091.0 12.0528
41093.4 16.2670
41094.7 19.7924
41095.9 24.8078
41098.0 36.4749
41100.0 44.3875
41102.0 36.7869
41104.1 25.1927
41105.4 20.0224
41106.6 16.4331
41109.2 12.1447
41111.7 9.90436
41114.3 8.62178
41116.8 7.82751
41119.4 7.30361
41124.5 6.67830
41129.6 6.33030
41134.7 6.11530
41144.9 5.86772
41155.1 5.72941
41165.2 5.63911
41185.6 5.52093
41206.0 5.43879
41226.4 5.37240
41267.2 5.26104
41348.7 5.07389
41430.2 4.90864
41593.3 4.61411
41756.4 4.34923
41919.5 4.09749
42082.5 3.83531
42164.1 3.68452
42204.8 3.59831
42245.6 3.50123
42286.4 3.39231
42327.1 3.29292
42347.5 3.29463
42357.7 3.34600
42367.9 3.48178
42378.1 3.80765
42388.3 4.61271
42393.4 5.43165
42398.5 6.83754
42403.6 9.37682
42408.7 14.1138
42420.0 35.9068
42422.8 38.0985
42425.7 36.1557
42431.3 26.9004
42435.8 20.6416
42440.2 16.3225
42444.6 13.4220
42449.0 11.4331
42457.9 8.99320
42466.7 7.61406
42475.5 6.75324
42484.4 6.17434
42502.1 5.45559
42519.7 5.03164
42537.4 4.75284
42572.8 4.40642
42608.1 4.19540
42643.5 4.04920
42714.2 3.85031
42855.6 3.60283
42997.1 3.42950
43562.8 2.93760
44128.5 2.54930
44269.9 2.46005
44411.4 2.37531
44482.1 2.33754
44552.8 2.31202
44588.2 2.31566
44605.8 2.32994
44623.5 2.36415
44641.2 2.44577
44650.0 2.52769
44658.9 2.67148
44667.7 2.95104
44672.1 3.19832
44676.6 3.59058
44681.0 4.26028
44685.4 5.52137
44687.6 6.59588
44689.8 8.21734
44692.0 10.7400
44694.2 14.6614
44697.1 22.2522
44700.0 27.3874
44702.9 22.4452
44705.8 14.9193
44708.2 10.5977
44710.7 7.96715
44713.2 6.33840
44715.6 5.28837
44720.5 4.08653
44725.5 3.46044
44730.4 3.09592
44735.3 2.86551
44745.1 2.60088
44755.0 2.45907
44764.8 2.37301
44784.5 2.27512
44804.2 2.22033
44823.9 2.18390
44863.2 2.13447
44942.0 2.06741
45020.7 2.01280
45335.6 1.81717
45650.5 1.62949
45729.2 1.58513
45807.9 1.54784
45847.3 1.53935
45867.0 1.54310
45886.7 1.55999
45906.3 1.60904
45916.2 1.66232
45926.0 1.76042
45935.9 1.96135
45940.8 2.14744
45945.7 2.45611
45950.6 3.01718
45953.1 3.48370
45955.5 4.18101
45958.0 5.27879
45960.5 7.11743
45962.9 10.4093
45965.4 16.5285
45967.7 25.7412
45970.0 31.9726
45972.3 25.9844
45974.6 16.8709
45976.7 11.4761
45978.8 8.24502
45980.8 6.27956
45982.9 5.02923
45987.0 3.61678
45991.1 2.89010
45995.2 2.47045
45999.4 2.20677
46007.6 1.90615
46015.8 1.74613
46024.1 1.64994
46040.5 1.54193
46057.0 1.48289
46073.5 1.44468
46106.4 1.39476
46172.3 1.33077
46238.2 1.28053
46369.9 1.18963
46501.7 1.10139
47028.7 0.737306
47292.2 0.545026
47555.8 0.363673
47687.5 0.311105
47753.4 0.320426
47819.3 0.389141
47852.2 0.466336
47885.2 0.594433
47918.1 0.806134
47951.0 1.16214
47984.0 1.78296
48016.9 2.92730
48033.4 3.85979
48049.9 5.19810
48066.3 7.15630
48082.8 10.0556
48111.4 18.4558
48140.0 29.2968
48154.3 31.5721
48168.6 29.9241
48197.2 21.0778
48215.8 15.9384
48234.4 12.2008
48252.9 9.57836
48271.5 7.73202
48290.1 6.42054
48308.7 5.52773
48318.0 5.26357
48322.6 5.21109
48327.2 5.25732
48331.9 5.49610
48336.5 6.18445
48338.9 6.91530
48341.2 8.21021
48343.5 10.6367
48345.8 15.3326
48347.9 22.2400
48350.0 26.8944
48352.1 22.3445
48354.2 15.4375
48355.6 12.2047
48357.0 9.97395
48359.7 7.35460
48362.5 5.98808
48365.2 5.19445
48368.0 4.68435
48370.7 4.33318
48376.2 3.87490
48381.8 3.58034
48387.3 3.36695
48398.3 3.05900
48420.3 2.64725
48442.4 2.35562
48486.5 1.94564
48530.6 1.67030
48574.7 1.48072
48618.8 1.35904
48640.8 1.32862
48662.9 1.34486
48673.9 1.40454
48679.4 1.47039
48684.9 1.59088
48690.4 1.83379
48693.2 2.05529
48695.9 2.41446
48698.7 3.05180
48701.4 4.31131
48702.8 5.44714
48704.2 7.25605
48705.6 10.2750
48707.0 15.3564
48708.5 24.0398
48710.0 29.9049
48711.5 24.2881
48713.1 15.7471
48714.2 11.3589
48715.3 8.50969
48716.4 6.62251
48717.6 5.36108
48719.8 3.84211
48722.0 3.01877
48724.3 2.52378
48726.5 2.20688
48731.0 1.83739
48735.5 1.63866
48740.0 1.52003
48749.0 1.39120
48767.0 1.29177
48784.9 1.26084
48820.9 1.26560
48856.8 1.31545
48928.7 1.52112
49000.5 1.88984
49072.4 2.48510
49144.3 3.41500
49216.1 4.85038
49288.0 7.04177
49353.5 9.95351
49419.0 13.8682
49550.0 22.4090
49615.5 24.1305
49681.0 23.0928
49812.0 17.1756
49906.0 13.2052
50000.0 10.2493
50171.7 6.80830
50343.5 4.80556
50515.2 3.52542
50601.1 3.05749
50622.6 2.96682
50644.0 2.91587
50654.8 2.93902
50660.1 2.98572
50665.5 3.08596
50670.9 3.30716
50673.5 3.51559
50676.2 3.86010
50678.9 4.47743
50681.6 5.70094
50682.9 6.79682
50684.3 8.53034
50685.6 11.3937
50687.0 16.1945
50688.5 24.5512
50690.0 30.2008
50691.5 24.8169
50693.1 16.6223
50694.3 12.1692
50695.5 9.34025
50696.7 7.53118
50697.9 6.33474
50700.3 4.92754
50702.7 4.17500
50705.1 3.72424
50707.6 3.43433
50712.4 3.09038
50717.2 2.89745
50722.0 2.77420
50731.7 2.62194
50751.0 2.45328
50770.4 2.34153
50809.0 2.16680
50847.7 2.01676
51002.2 1.51261
51311.4 0.748581
51466.0 0.465011
51543.3 0.359801
51620.6 0.300833
51659.3 0.302056
51697.9 0.338979
51736.6 0.435107
51775.2 0.636833
51813.9 1.04480
51833.2 1.39165
51852.5 1.90313
51871.8 2.67900
51891.2 3.89464
51910.5 5.87129
51929.8 9.18236
51954.9 16.8266
51980.0 26.9227
51992.6 29.1925
52005.1 27.7627
52030.2 19.4641
52048.5 14.1387
52066.7 10.4654
52103.2 6.36160
52139.7 4.39268
52176.2 3.35241
52249.1 2.45363
52322.1 2.27275
52395.1 2.49770
52468.1 3.06816
52541.0 4.01502
52614.0 5.41423
52715.5 8.28350
52817.0 12.3015
53020.0 20.8650
53121.5 22.5388
53223.0 21.8474
53426.0 17.3592
53657.3 12.6394
53888.6 9.52164
54119.9 7.48567
54351.1 6.08866
54813.7 4.30853
55045.0 3.70269
55160.6 3.45239
55189.5 3.40227
55218.5 3.37510
55232.9 3.39088
55247.4 3.48321
55254.6 3.62230
55258.2 3.75496
55261.8 3.97610
55265.4 4.37845
55269.1 5.19817
55270.9 5.95661
55272.7 7.18627
55274.5 9.31483
55276.3 13.0490
55278.1 19.0943
55280.0 23.1953
55281.9 19.3158
55283.7 13.3467
55285.2 10.2459
55286.6 8.23213
55288.0 6.91990
55289.4 6.04457
55292.2 4.99180
55295.0 4.42182
55297.8 4.07870
55300.6 3.85752
55306.3 3.59597
55311.9 3.45089
55317.5 3.35983
55328.8 3.25099
55351.3 3.13877
55373.8 3.07003
55418.9 2.96773
55463.9 2.88115
55644.0 2.58144
56004.3 2.08320
56724.8 1.31753
57445.3 0.743232
58165.9 0.318316
58526.1 0.169389
58706.3 0.115224
58886.4 0.0774326
59066.6 0.0588613
59156.6 0.0578687
59246.7 0.0630847
59336.8 0.0750938
59426.8 0.0945419
59606.9 0.158719
59787.1 0.262362
59967.2 0.413681
60147.3 0.622636
60327.5 0.901142
60687.7 1.72520
61048.0 3.02199
61078.9 3.15995
61094.3 3.23096
61102.0 3.26831
61105.9 3.29300
61107.8 3.32605
61108.7 3.40035
61109.7 4.35418
61110.0 5.43435
61110.3 4.38426
61111.2 3.43816
61112.1 3.35905
61113.9 3.33668
61117.5 3.34384
61124.7 3.37506
61139.0 3.44327
61167.8 3.58445
61225.3 3.88016
61340.3 4.52483
61570.2 6.03486
62030.2 9.88560
62950.0 17.8371
63901.0 19.6618
64852.0 17.8021
64895.6 17.7189
64917.5 17.6816
64928.4 17.6788
64933.8 17.7366
64936.6 17.9450
64937.9 18.4439
64938.6 19.2451
64939.3 21.6228
64940.0 25.7654
64940.7 21.7799
64941.5 19.2458
64942.2 18.4404
64943.7 17.9471
64946.7 17.7321
64952.8 17.6486
64964.8 17.6039
64988.9 17.5540
65037.1 17.4688
65133.5 17.3140
65326.3 17.0565
65711.9 16.7804
66483.0 17.4255
66850.4 18.4372
67034.2 19.1832
67080.1 19.4296
67126.0 19.7702
67149.0 20.0475
67171.9 20.5657
67183.4 21.0742
67194.9 22.0436
67200.6 22.9071
67206.4 24.2885
67212.1 26.6283
67217.9 30.7019
67223.9 37.3381
67229.9 41.9283
67235.9 37.7550
67241.9 31.2458
67246.7 27.7325
67251.5 25.5073
67256.2 24.0933
67261.0 23.1673
67270.5 22.1015
67280.0 21.5568
67299.0 21.0818
67318.1 20.9247
67356.1 20.9110
67394.2 21.0331
67546.5 21.8318
67851.0 23.8088
68460.0 27.8224
68499.7 28.0313
68519.5 28.1327
68529.4 28.1897
