Ag-107(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
210.748 11.1327
212.768 9.54245
214.788 8.56390
216.808 7.90831
217.818 7.67477
218.071 7.63835
218.323 7.63804
218.449 7.67864
218.576 7.80856
218.639 7.96363
218.702 8.27835
218.733 8.56285
218.765 9.01221
218.797 9.75672
218.828 10.9993
218.864 13.1598
218.900 14.6072
218.936 13.1464
218.972 10.9716
219.008 9.57764
219.044 8.79915
219.081 8.34946
219.117 8.07331
219.189 7.76721
219.261 7.60908
219.406 7.45093
219.551 7.36881
219.840 7.27173
220.129 7.20396
221.286 7.00062
223.600 6.68976
225.914 6.44657
227.072 6.34934
227.650 6.32824
227.795 6.34129
227.939 6.38865
228.012 6.44817
228.084 6.57491
228.120 6.69473
228.156 6.89279
228.192 7.24128
228.229 7.86802
228.264 8.84163
228.300 9.48738
228.336 8.83352
228.372 7.85734
228.412 7.17615
228.452 6.81796
228.492 6.62041
228.531 6.50292
228.611 6.37641
228.691 6.31258
228.851 6.24952
229.011 6.21674
229.650 6.15169
229.970 6.13364
230.289 6.13091
230.449 6.14640
230.609 6.20066
230.689 6.26925
230.769 6.41843
230.809 6.56324
230.849 6.81011
230.889 7.26420
230.929 8.13099
230.964 9.38287
231.000 10.2135
231.036 9.37472
231.072 8.12173
231.106 7.34403
231.140 6.89672
231.174 6.63151
231.208 6.46649
231.276 6.28226
231.344 6.18761
231.480 6.09593
231.616 6.05165
231.889 6.00503
232.161 5.97625
233.250 5.89689
234.339 5.83486
234.884 5.82392
235.020 5.83511
235.156 5.87218
235.224 5.91741
235.292 6.01164
235.326 6.09896
235.360 6.24042
235.394 6.48179
235.428 6.90219
235.464 7.58529
235.500 8.04039
235.536 7.58144
235.572 6.89426
235.602 6.50268
235.633 6.26357
235.663 6.11545
235.694 6.01995
235.755 5.90939
235.816 5.85048
235.938 5.79137
236.061 5.76169
236.305 5.72897
236.550 5.70770
237.527 5.64469
239.483 5.53241
241.439 5.41848
243.395 5.29597
245.351 5.15921
246.329 5.08681
247.306 5.02197
247.795 5.00252
248.284 5.00743
248.773 5.06875
249.262 5.27062
249.507 5.49041
249.751 5.87566
249.996 6.58153
250.240 7.97480
250.362 9.19567
250.485 11.0850
250.607 14.1817
250.729 19.6490
250.851 30.4296
250.913 40.0675
250.974 55.4830
251.004 66.8472
251.035 82.0004
251.065 102.859
251.096 132.213
251.126 175.155
251.157 239.701
251.188 340.219
251.218 496.373
251.259 808.828
251.300 1032.40
251.321 983.298
251.341 846.520
251.382 543.558
251.415 374.441
251.448 266.918
251.481 198.183
251.514 152.846
251.580 99.3914
251.647 70.7127
251.713 53.6553
251.779 42.6991
251.911 29.9189
252.043 22.9879
252.175 18.7882
252.308 16.0322
252.440 14.1153
252.704 11.6702
252.969 10.2096
253.233 9.25473
253.498 8.58949
254.027 7.73295
254.555 7.21091
255.084 6.86142
255.613 6.61135
256.671 6.27678
257.729 6.06476
258.258 5.99084
258.787 5.94780
259.051 5.95524
259.316 6.03158
259.448 6.15249
259.514 6.26965
259.580 6.46879
259.646 6.83943
259.679 7.15423
259.712 7.63173
259.745 8.40381
259.778 9.73666
259.811 12.2498
259.844 17.2212
259.872 24.1016
259.900 28.6651
259.928 24.0713
259.956 17.2119
259.973 14.1567
259.991 12.0281
260.026 9.51548
260.061 8.20918
260.095 7.46457
260.130 7.00534
260.165 6.70365
260.235 6.34511
260.305 6.14773
260.375 6.02666
260.514 5.88932
260.793 5.76654
261.073 5.70653
261.631 5.63949
262.190 5.60557
262.748 5.61759
263.027 5.66533
263.306 5.78486
263.586 6.08856
263.725 6.41025
263.865 7.00184
264.005 8.21817
264.074 9.34609
264.144 11.2110
264.214 14.5653
264.284 21.3467
264.319 27.5313
264.354 37.4881
264.388 54.3111
264.423 83.3223
264.443 106.386
264.462 133.195
264.500 168.930
264.538 139.271
264.577 91.0840
264.618 57.7064
264.659 39.4650
264.700 29.0860
264.741 22.8071
264.782 18.7456
264.823 15.9916
264.905 12.6002
264.987 10.6673
265.069 9.46087
265.233 8.08390
265.397 7.34877
265.562 6.90499
265.890 6.40823
266.218 6.14274
266.546 5.97920
267.203 5.78825
267.859 5.68110
268.516 5.62228
268.844 5.61687
269.008 5.62752
269.172 5.65753
269.336 5.73087
269.418 5.80344
269.500 5.92734
269.582 6.15834
269.623 6.35340
269.664 6.64881
269.705 7.12307
269.746 7.93399
269.787 9.43334
269.828 12.3414
269.864 16.4552
269.900 19.1966
269.936 16.4524
269.972 12.3344
270.011 9.48129
270.051 7.97973
270.091 7.15371
270.131 6.66560
270.171 6.35561
270.210 6.14852
270.290 5.89732
270.369 5.75651
270.449 5.66914
270.608 5.56907
270.767 5.51401
270.926 5.47879
271.244 5.43430
271.880 5.38209
272.516 5.34557
275.060 5.23725
280.148 5.06337
285.237 4.89343
290.325 4.69836
292.869 4.58112
295.413 4.44243
297.957 4.27258
300.501 4.05814
301.774 3.92977
303.046 3.78741
304.318 3.63961
305.590 3.52391
306.226 3.51567
306.862 3.59748
307.498 3.88390
308.134 4.67214
308.452 5.48612
308.770 6.87866
309.088 9.38316
309.247 11.3894
309.406 14.2500
309.565 18.4629
309.724 24.9291
309.883 35.4050
310.042 53.6614
310.122 68.1681
310.201 88.9238
310.281 119.851
310.360 168.340
310.440 249.448
310.519 396.774
310.559 517.576
310.599 692.277
310.638 951.243
310.678 1332.60
310.739 2187.15
310.800 2804.51
310.861 2299.70
310.922 1473.32
310.989 889.220
311.057 575.123
311.124 399.032
311.191 293.119
311.258 225.162
311.325 179.151
311.460 122.735
311.594 90.7234
311.729 70.7881
311.997 48.1135
312.266 36.0580
312.535 28.8140
312.804 24.0751
313.073 20.7819
313.611 16.5720
314.148 14.0422
314.686 12.3781
315.224 11.2108
316.299 9.69621
317.374 8.76523
318.450 8.13895
319.525 7.69016
321.676 7.09118
323.827 6.71179
324.902 6.57349
325.978 6.46901
326.515 6.43969
326.784 6.43883
327.053 6.45860
327.322 6.52644
327.456 6.60195
327.591 6.74068
327.725 7.02098
327.792 7.27622
327.860 7.69201
327.927 8.42853
327.994 9.89683
328.028 11.2254
328.061 13.3565
328.095 16.9515
328.128 23.1442
328.164 33.2956
328.200 40.0346
328.236 33.2624
328.272 23.1361
328.308 16.5971
328.344 12.9547
328.380 10.8528
328.416 9.57296
328.452 8.74293
328.488 8.18073
328.560 7.49040
328.632 7.10065
328.704 6.85915
328.849 6.58625
328.993 6.44133
329.137 6.35308
329.425 6.25069
329.714 6.19077
330.002 6.14889
330.579 6.08853
331.732 6.00234
332.886 5.93346
337.500 5.72218
342.114 5.56168
343.268 5.52794
344.421 5.50162
344.998 5.49766
345.286 5.50256
345.575 5.51846
345.863 5.56075
346.007 5.60511
346.152 5.68510
346.296 5.84571
346.368 5.99224
346.440 6.23227
346.512 6.66191
346.548 7.01483
346.584 7.53436
346.620 8.34167
346.656 9.66191
346.692 11.9567
346.728 16.0634
346.764 22.4607
346.800 26.7278
346.836 22.4598
346.872 16.0606
346.897 12.9667
346.922 10.9047
346.947 9.52433
346.972 8.57890
347.021 7.42726
347.071 6.79369
347.121 6.41108
347.171 6.16450
347.271 5.87657
347.370 5.72101
347.470 5.62726
347.669 5.52316
347.869 5.46798
348.068 5.43378
348.466 5.39196
349.264 5.34371
350.061 5.30826
351.656 5.24373
