24-Cr_n-tot
>  24-Cr-50:0.043450
>  24-Cr-52:0.837898
>  24-Cr-53:0.095001
>  24-Cr-54:0.023650
1.026990e+04 8.09397291e+00
1.027010e+04 7.94668641e+00
1.027040e+04 7.86537915e+00
1.027060e+04 7.81574472e+00
1.027090e+04 7.78575209e+00
1.027110e+04 7.76539570e+00
1.027140e+04 7.75156280e+00
1.027190e+04 7.73379080e+00
1.027240e+04 7.72314556e+00
1.027290e+04 7.71604573e+00
1.027390e+04 7.70690366e+00
1.027500e+04 7.70058099e+00
1.027600e+04 7.69591095e+00
1.027800e+04 7.68837633e+00
1.028210e+04 7.67549289e+00
1.028620e+04 7.66357864e+00
1.029430e+04 7.64073560e+00
1.030250e+04 7.61788219e+00
1.033500e+04 7.52774839e+00
1.040020e+04 7.34718240e+00
1.052530e+04 7.00078959e+00
1.053060e+04 6.99089039e+00
1.079130e+04 6.50397329e+00
1.105050e+04 6.01984849e+00
1.107880e+04 5.98083074e+00
1.131280e+04 5.68343994e+00
1.157580e+04 5.34916433e+00
1.183840e+04 5.07755972e+00
1.196970e+04 4.95560380e+00
1.200260e+04 4.92812082e+00
1.203540e+04 4.90567394e+00
1.205180e+04 4.90073480e+00
1.206000e+04 4.90294878e+00
1.206820e+04 4.91257284e+00
1.207640e+04 4.93989557e+00
1.208050e+04 4.96897084e+00
1.208460e+04 5.02152085e+00
1.208870e+04 5.12693888e+00
1.209080e+04 5.22224105e+00
1.209280e+04 5.37691986e+00
1.209490e+04 5.64970281e+00
1.209690e+04 6.19025647e+00
1.209800e+04 6.67930995e+00
1.209900e+04 7.45134380e+00
1.210000e+04 8.75604798e+00
1.210100e+04 1.09586536e+01
1.210220e+04 1.46505871e+01
1.210330e+04 1.70858111e+01
1.210440e+04 1.46206010e+01
1.210550e+04 1.09610675e+01
1.210630e+04 9.08311841e+00
1.210720e+04 7.86217587e+00
1.210800e+04 7.06615461e+00
1.210880e+04 6.53230748e+00
1.211050e+04 5.89699949e+00
1.211210e+04 5.55548299e+00
1.211380e+04 5.35080481e+00
1.211540e+04 5.22041841e+00
1.211870e+04 5.06848717e+00
1.212210e+04 4.98641859e+00
1.212540e+04 4.93688887e+00
1.213200e+04 4.88110236e+00
1.213860e+04 4.85051961e+00
1.214520e+04 4.83075746e+00
1.215750e+04 4.80679402e+00
1.215850e+04 4.80490024e+00
1.217170e+04 4.78736571e+00
1.218500e+04 4.77298012e+00
1.221150e+04 4.74823257e+00
1.226450e+04 4.70438053e+00
1.231750e+04 4.66324551e+00
1.235580e+04 4.63552255e+00
1.252950e+04 4.50976853e+00
1.274140e+04 4.36856559e+00
1.284740e+04 4.30180436e+00
1.287720e+04 4.28359650e+00
1.290040e+04 4.26941908e+00
1.292690e+04 4.25412755e+00
1.293350e+04 4.25103508e+00
1.294020e+04 4.24973301e+00
1.294350e+04 4.25159731e+00
1.294680e+04 4.26053918e+00
1.294840e+04 4.27447951e+00
1.294930e+04 4.28852214e+00
1.295010e+04 4.31333348e+00
1.295090e+04 4.36419409e+00
1.295130e+04 4.41228212e+00
1.295180e+04 4.49110734e+00
1.295220e+04 4.64172040e+00
1.295240e+04 4.77132947e+00
1.295260e+04 4.96012413e+00
1.295280e+04 5.28337364e+00
1.295300e+04 5.82416582e+00
1.295320e+04 6.91959255e+00
1.295330e+04 7.80196576e+00
1.295340e+04 9.05324666e+00
1.295360e+04 1.20512479e+01
1.295370e+04 1.38981468e+01
1.295390e+04 1.18867574e+01
1.295410e+04 9.09157226e+00
1.295420e+04 7.74015013e+00
1.295430e+04 6.88828100e+00
1.295450e+04 5.82490614e+00
1.295470e+04 5.27547692e+00
1.295490e+04 4.96371157e+00
1.295510e+04 4.77218893e+00
1.295530e+04 4.64686295e+00
1.295570e+04 4.50143405e+00
1.295620e+04 4.41990717e+00
1.295660e+04 4.37178774e+00
1.295740e+04 4.31809980e+00
1.295820e+04 4.29066062e+00
1.295910e+04 4.27462595e+00
1.296070e+04 4.25731097e+00
1.296400e+04 4.24280661e+00
1.296740e+04 4.23614421e+00
1.297400e+04 4.22865319e+00
1.298070e+04 4.22336108e+00
1.299400e+04 4.21447300e+00
1.300730e+04 4.20624992e+00
1.306050e+04 4.17481112e+00
1.316680e+04 4.11418067e+00
1.323630e+04 4.07646023e+00
1.337960e+04 4.00306136e+00
1.339870e+04 3.99413746e+00
1.365940e+04 3.87232564e+00
1.378980e+04 3.81140454e+00
1.380510e+04 3.80425908e+00
1.392020e+04 3.75611465e+00
1.405050e+04 3.70167497e+00
1.411570e+04 3.67449749e+00
1.418090e+04 3.64742761e+00
1.421350e+04 3.63397604e+00
1.423060e+04 3.62697759e+00
1.424610e+04 3.62110285e+00
1.427870e+04 3.60895150e+00
1.431130e+04 3.59722965e+00
1.431510e+04 3.59593933e+00
1.432760e+04 3.59199931e+00
1.434390e+04 3.58728179e+00
1.436020e+04 3.58334023e+00
1.437650e+04 3.58099317e+00
1.438460e+04 3.58102495e+00
1.439280e+04 3.58252215e+00
1.440090e+04 3.58675705e+00
1.440910e+04 3.59631733e+00
1.441720e+04 3.61832632e+00
1.442130e+04 3.63976261e+00
1.442540e+04 3.67622461e+00
1.442940e+04 3.74452426e+00
1.443150e+04 3.80254373e+00
1.443350e+04 3.89051192e+00
1.443550e+04 4.03315472e+00
1.443760e+04 4.27909401e+00
1.443960e+04 4.74421252e+00
1.444160e+04 5.66342739e+00
1.444340e+04 6.93979761e+00
1.444510e+04 7.78643204e+00
1.444680e+04 6.93639850e+00
1.444850e+04 5.66820985e+00
1.445000e+04 4.94178723e+00
1.445140e+04 4.50192180e+00
1.445290e+04 4.22981076e+00
1.445440e+04 4.05450723e+00
1.445730e+04 3.85402625e+00
1.446020e+04 3.74962484e+00
1.446310e+04 3.68879827e+00
1.446600e+04 3.65026962e+00
1.447190e+04 3.60572141e+00
1.447770e+04 3.58148999e+00
1.448360e+04 3.56644307e+00
1.448940e+04 3.55616316e+00
1.449520e+04 3.54856850e+00
1.450690e+04 3.53766336e+00
1.451860e+04 3.52972537e+00
1.453030e+04 3.52324874e+00
1.454200e+04 3.51757976e+00
1.454980e+04 3.51422149e+00
1.456540e+04 3.50771249e+00
1.457640e+04 3.50351820e+00
1.458870e+04 3.49908740e+00
1.460300e+04 3.49418974e+00
1.461210e+04 3.49154755e+00
1.461630e+04 3.49036798e+00
1.462960e+04 3.48852320e+00
1.463550e+04 3.48992859e+00
1.463620e+04 3.49010046e+00
1.463950e+04 3.49279171e+00
1.464290e+04 3.49843671e+00
1.464620e+04 3.51124557e+00
1.464790e+04 3.52386742e+00
1.464950e+04 3.54602814e+00
1.465120e+04 3.58961080e+00
1.465200e+04 3.62891594e+00
1.465280e+04 3.69279783e+00
1.465370e+04 3.80615544e+00
1.465410e+04 3.89976625e+00
1.465450e+04 4.03378097e+00
1.465490e+04 4.24493645e+00
1.465530e+04 4.57924167e+00
1.465570e+04 5.16685742e+00
1.465620e+04 6.17460460e+00
1.465660e+04 7.80515978e+00
1.465700e+04 8.85773868e+00
1.465740e+04 7.76526263e+00
1.465790e+04 6.17019278e+00
1.465820e+04 5.29506068e+00
1.465850e+04 4.75701096e+00
1.465890e+04 4.40333830e+00
1.465920e+04 4.17728119e+00
1.465990e+04 3.90843254e+00
1.466050e+04 3.76604043e+00
1.466120e+04 3.68251012e+00
1.466190e+04 3.62958913e+00
1.466320e+04 3.56905387e+00
1.466460e+04 3.53704661e+00
1.466590e+04 3.51806477e+00
1.466860e+04 3.49744748e+00
1.467120e+04 3.48679656e+00
1.467390e+04 3.48037241e+00
