I-127(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
166.969 13.7889
167.199 18.2242
167.429 25.4794
167.659 38.3636
167.774 48.8258
167.889 64.1356
168.004 87.6736
168.118 126.268
168.233 195.280
168.291 251.745
168.348 334.529
168.406 461.924
168.463 667.577
168.521 1018.33
168.578 1627.85
168.639 2634.06
168.700 3332.93
168.761 2707.03
168.822 1719.61
168.864 1242.53
168.905 918.477
168.947 697.979
168.988 545.560
169.071 357.401
169.154 252.038
169.238 187.751
169.321 145.813
169.487 96.3378
169.653 69.3253
169.819 52.9550
169.985 42.2459
170.151 34.8446
170.484 25.4980
170.816 20.0010
171.148 16.4687
171.481 14.0501
172.145 11.0264
172.810 9.32576
173.142 8.84687
173.474 8.81252
173.641 9.26413
173.724 9.81215
173.807 10.8371
173.890 12.9002
173.931 14.7444
173.973 17.6558
174.015 22.5818
174.056 31.6043
174.098 49.9727
174.118 66.3259
174.139 90.6173
174.170 142.584
174.200 178.962
174.231 146.966
174.261 96.0580
174.291 62.8261
174.322 43.9588
174.352 32.9181
174.382 26.0788
174.443 18.5201
174.504 14.6850
174.564 12.4722
174.625 11.0716
174.746 9.44090
174.867 8.53757
174.988 7.96639
175.231 7.27279
175.716 6.55068
176.201 6.13281
176.685 5.84614
177.170 5.67259
177.413 5.67187
177.534 5.72836
177.655 5.87183
177.776 6.21469
177.837 6.55239
177.898 7.12816
177.958 8.19282
178.019 10.4150
178.049 12.5035
178.079 15.9692
178.110 22.0690
178.140 33.1264
178.170 50.4480
178.200 62.5467
178.230 51.9455
178.260 34.9910
178.293 22.9664
178.327 16.5369
178.360 12.9369
178.393 10.7858
178.426 9.40478
178.460 8.47379
178.526 7.32983
178.593 6.67803
178.659 6.26764
178.792 5.78932
178.925 5.52125
179.058 5.34786
179.324 5.12830
179.856 4.87585
180.388 4.70698
182.516 4.24624
184.644 3.89727
186.772 3.59050
188.899 3.33561
189.963 3.27484
191.027 3.36789
191.559 3.55447
192.091 3.94692
192.623 4.75581
193.155 6.49872
193.421 8.10830
193.687 10.6954
193.953 15.1027
194.219 23.2525
194.352 30.0782
194.485 40.3082
194.618 56.4700
194.751 83.8544
194.884 134.971
194.951 178.466
195.017 244.795
195.084 351.823
195.150 536.858
195.217 882.501
195.250 1164.97
195.283 1560.06
195.342 2548.16
195.400 3250.58
195.459 2649.11
195.517 1686.38
195.552 1268.22
195.587 970.272
195.657 606.476
195.727 410.664
195.797 296.452
195.867 224.580
195.937 176.740
196.077 118.976
196.218 86.7551
196.358 66.9090
196.638 44.6103
196.918 32.9085
197.198 25.9394
197.478 21.4145
197.759 18.2877
198.319 14.3140
198.879 11.9400
199.440 10.3837
200.000 9.29435
200.788 8.22829
201.577 7.49815
202.365 6.99577
203.154 6.70262
203.942 6.73917
204.336 7.03097
204.730 7.77155
204.927 8.48444
205.125 9.64197
205.322 11.6157
205.519 15.2461
205.716 22.7545
205.814 29.7912
205.913 41.5675
206.012 63.2382
206.061 81.4161
206.110 108.698
206.159 152.008
206.209 224.871
206.258 356.496
206.282 460.607
206.307 602.602
206.354 978.413
206.400 1243.50
206.447 1012.57
206.493 645.273
206.523 474.941
206.553 357.149
206.614 218.462
206.674 146.670
206.734 105.766
206.794 80.4981
206.854 63.8602
206.975 44.0272
207.095 33.0821
207.216 26.3951
207.456 18.9241
207.697 15.0154
207.938 12.6876
208.179 11.1712
208.420 10.1172
208.901 8.76281
209.383 7.93696
209.865 7.38145
210.346 6.98100
211.310 6.43643
212.273 6.07621
214.200 5.61088
216.126 5.30636
218.053 5.07926
221.906 4.73552
225.759 4.45080
227.686 4.31087
229.613 4.16463
231.539 4.01234
232.503 3.94338
233.466 3.90590
233.948 3.92087
234.429 3.98977
234.911 4.17368
235.392 4.62746
235.633 5.07471
235.874 5.82103
236.115 7.13729
236.356 9.65797
236.476 11.8268
236.597 15.1445
236.717 20.5188
236.837 29.9191
236.898 37.4332
236.958 48.2598
237.018 64.5604
237.078 90.5143
237.138 134.955
237.169 169.725
237.199 218.698
237.229 289.913
237.259 397.003
237.289 562.696
237.319 820.043
237.360 1333.37
237.400 1695.94
237.441 1383.57
237.481 882.899
237.510 631.757
237.539 463.900
237.567 351.075
237.596 273.982
237.654 179.743
237.711 127.531
237.768 95.7702
237.826 75.1369
237.941 50.7828
238.056 37.4820
238.171 29.3957
238.285 24.0909
238.400 20.4082
238.630 15.7298
238.860 12.9553
239.090 11.1559
239.320 9.91139
239.779 8.32585
240.239 7.37266
240.699 6.74203
241.158 6.29590
242.077 5.71551
242.537 5.53214
242.997 5.42642
243.456 5.47124
243.686 5.62915
243.916 6.01446
244.146 6.97310
244.261 7.97586
244.376 9.80345
244.491 13.5259
244.548 16.9565
244.605 22.5841
244.663 32.6481
244.720 52.7495
244.749 70.9684
244.778 99.9236
244.807 148.202
244.821 184.030
244.835 230.111
244.851 296.352
244.868 373.208
244.900 475.432
244.916 452.664
244.932 389.739
244.965 250.777
244.988 180.500
245.011 133.464
245.034 102.019
245.058 80.5625
245.104 54.2802
245.150 39.7283
245.197 30.8659
245.243 25.1036
245.336 18.2835
245.428 14.5425
245.521 12.2566
245.706 9.69497
245.892 8.34376
246.077 7.52942
246.448 6.61321
246.819 6.11608
247.190 5.80328
247.931 5.42471
248.673 5.19523
249.414 5.03433
250.897 4.80968
252.381 4.64680
253.864 4.51249
255.347 4.39206
256.089 4.33638
256.459 4.31666
256.645 4.32703
256.737 4.36738
256.784 4.42417
256.830 4.54961
256.900 4.81982
256.970 4.53859
257.003 4.43517
257.035 4.37407
257.101 4.31227
257.231 4.26558
257.492 4.22869
258.014 4.18101
259.058 4.09258
260.102 4.00296
261.146 3.91880
261.668 3.88784
262.190 3.87913
262.713 3.92358
263.235 4.10368
263.496 4.31023
263.757 4.68062
264.018 5.37157
264.279 6.75778
264.409 7.98492
264.540 9.90175
264.670 13.0718
264.801 18.7430
264.866 23.3636
264.931 30.1109
264.996 40.4681
265.062 57.3035
265.127 87.0481
265.160 110.949
265.192 145.476
265.225 197.520
265.257 278.888
265.290 411.621
265.323 630.965
265.361 1029.00
265.400 1312.85
265.439 1073.76
265.477 686.965
265.523 400.190
265.569 252.655
265.615 172.752
265.661 125.911
265.706 96.2879
265.752 76.4857
265.844 52.5412
265.935 39.1217
266.027 30.8421
266.210 21.5071
266.393 16.5868
266.576 13.6476
266.759 11.7341
266.942 10.4089
267.308 8.71949
267.674 7.70707
268.040 7.04208
268.407 6.57721
269.139 5.99055
269.505 5.81703
269.871 5.73001
270.237 5.80173
270.420 5.97283
270.603 6.36073
270.787 7.27480
270.878 8.19517
270.970 9.82061
271.061 13.0067
271.107 15.8354
271.153 20.3115
271.198 27.9389
271.244 42.1071
271.267 54.0256
271.290 71.7289
271.313 98.6954
271.336 139.617
271.368 224.703
271.400 285.199
271.432 233.849
271.464 151.045
271.485 113.097
271.505 86.5169
271.546 54.9517
271.587 38.3824
271.628 28.8900
271.669 22.9761
271.710 19.0727
271.792 14.3858
271.874 11.7824
271.956 10.1796
272.120 8.37216
272.283 7.41340
272.447 6.83321
272.775 6.17677
273.102 5.81736
273.430 5.58898
274.085 5.30874
274.740 5.13625
275.396 5.01442
276.706 4.84525
279.327 4.63453
281.947 4.49304
284.568 4.38143
287.189 4.28409
289.809 4.19442
290.465 4.17497
291.120 4.16284
291.447 4.16665
291.775 4.19672
291.939 4.24402
292.021 4.28989
292.102 4.36788
292.184 4.51293
292.225 4.63592
292.266 4.82224
292.307 5.12245
292.348 5.63873
292.389 6.60161
292.430 8.49183
292.465 11.1352
292.500 12.8902
292.535 11.1251
292.570 8.48712
292.598 7.07601
292.625 6.18138
292.653 5.61053
292.681 5.23399
292.736 4.79317
292.791 4.55852
292.846 4.41993
292.901 4.33136
293.012 4.22830
293.122 4.17184
293.232 4.13669
293.453 4.09476
293.895 4.05043
294.336 4.02136
295.219 3.97361
296.102 3.93098
296.544 3.91365
296.985 3.90394
297.427 3.91264
297.868 3.96876
298.089 4.03776
298.310 4.16453
298.530 4.40469
298.751 4.89091
298.862 5.32348
298.972 6.00086
299.082 7.12328
299.193 9.13179
299.303 13.1641
299.358 16.8352
299.413 22.8113
299.469 33.3477
299.496 41.8203
299.524 54.0541
299.551 72.4114
299.579 101.147
299.607 147.937
299.634 224.728
299.667 365.439
299.700 465.605
299.717 443.171
299.733 381.230
299.766 245.030
299.788 180.167
299.810 135.616
299.853 83.5164
299.897 56.7176
299.940 41.4981
299.984 32.0925
300.028 25.9178
300.115 18.5511
300.202 14.4761
300.289 11.9811
300.464 9.18231
300.638 7.71240
300.813 6.83388
300.987 6.26058
301.162 5.86205
301.511 5.35026
301.860 5.03938
302.209 4.83136
302.558 4.68220
303.256 4.48020
303.953 4.34593
305.349 4.16513
306.745 4.03307
307.443 3.97788
308.141 3.93725
308.490 3.93054
308.839 3.94521
309.188 4.00573
309.537 4.17470
309.711 4.34821
309.886 4.64304
310.060 5.16912
310.235 6.18213
310.409 8.38694
310.496 10.5385
310.584 14.2673
310.671 21.4444
310.715 27.7099
310.758 37.5019
310.802 53.8188
310.824 66.2457
310.845 83.3136
310.867 107.356
310.889 142.078
310.911 193.174
310.933 268.202
310.966 437.061
311.000 557.697
311.017 531.153
311.034 457.154
311.068 293.986
311.094 206.194
311.119 149.386
311.145 112.357
311.171 87.4978
311.223 57.8051
311.275 41.6479
311.327 31.9508
311.378 25.6841
311.482 18.3326
311.586 14.3277
311.689 11.8912
311.793 10.2892
311.896 9.17347
312.104 7.74830
312.311 6.89604
312.518 6.33851
312.725 5.94961
313.140 5.44828
313.554 5.14224
313.969 4.93685
314.383 4.78951
315.212 4.59109
316.041 4.46179
317.699 4.29763
319.357 4.19161
321.014 4.11405
321.843 4.08429
322.672 4.06725
323.087 4.07293
323.294 4.08571
323.501 4.11352
323.708 4.17525
