82-Pb_n-g
> 82-Pb-204:0.014000
> 82-Pb-206:0.241000
> 82-Pb-207:0.221000
> 82-Pb-208:0.524000
2.447260e+03 7.39204087e-03
2.449130e+03 8.23168112e-03
2.450060e+03 8.71072880e-03
2.450990e+03 9.23603247e-03
2.451920e+03 9.81372415e-03
2.452860e+03 1.04509847e-02
2.453790e+03 1.11562584e-02
2.454720e+03 1.19386441e-02
2.456580e+03 1.37888474e-02
2.458450e+03 1.61262777e-02
2.460310e+03 1.91401330e-02
2.462170e+03 2.31120084e-02
2.464040e+03 2.84960626e-02
2.465900e+03 3.60296780e-02
2.467760e+03 4.70155533e-02
2.469630e+03 6.38408276e-02
2.471490e+03 9.13220629e-02
2.472420e+03 1.11931501e-01
2.473350e+03 1.39879458e-01
2.474290e+03 1.78799775e-01
2.475220e+03 2.34249473e-01
2.476150e+03 3.14616370e-01
2.477080e+03 4.30442468e-01
2.478540e+03 6.87394107e-01
2.480000e+03 8.57885947e-01
2.481470e+03 6.85443585e-01
2.482930e+03 4.27996024e-01
2.484670e+03 2.41620833e-01
2.486410e+03 1.47936841e-01
2.488160e+03 9.80778888e-02
2.489900e+03 6.92740973e-02
2.491640e+03 5.13551659e-02
2.493380e+03 3.95440144e-02
2.496860e+03 2.55034515e-02
2.500350e+03 1.78366675e-02
2.503830e+03 1.32122806e-02
2.510790e+03 8.16506084e-03
2.517760e+03 5.62061995e-03
2.524720e+03 4.16326616e-03
2.531440e+03 3.28454576e-03
2.531690e+03 3.25187030e-03
2.538660e+03 2.64495858e-03
2.552590e+03 1.91195162e-03
2.566520e+03 1.50320707e-03
2.580450e+03 1.25227752e-03
2.594380e+03 1.08731077e-03
2.622240e+03 8.91249460e-04
2.650110e+03 7.86222656e-04
2.677970e+03 7.42512150e-04
2.678420e+03 7.43249592e-04
2.684930e+03 7.53998510e-04
2.691900e+03 8.10949465e-04
2.695380e+03 9.00306930e-04
2.698870e+03 1.16081402e-03
2.700610e+03 1.52153855e-03
2.701480e+03 1.87786052e-03
2.702350e+03 2.51799048e-03
2.703220e+03 3.84983385e-03
2.703650e+03 5.13112572e-03
2.704090e+03 7.37530922e-03
2.704530e+03 1.18659467e-02
2.704740e+03 1.60105268e-02
2.704960e+03 2.28964186e-02
2.705180e+03 3.57002503e-02
2.705290e+03 4.66072262e-02
2.705400e+03 6.31592821e-02
2.705500e+03 9.04235783e-02
2.705610e+03 1.38730994e-01
2.705720e+03 2.32833530e-01
2.705780e+03 3.12255528e-01
2.705830e+03 4.26618726e-01
2.705920e+03 6.81011323e-01
2.706000e+03 8.50118720e-01
2.706090e+03 6.77837516e-01
2.706170e+03 4.24151913e-01
2.706240e+03 2.88763511e-01
2.706310e+03 2.02921108e-01
2.706370e+03 1.48136306e-01
2.706440e+03 1.12008743e-01
2.706570e+03 6.97634582e-02
2.706710e+03 4.73572929e-02
2.706840e+03 3.42048481e-02
