74-W_n-tot
>  74-W-180:0.001200
>  74-W-182:0.265106
>  74-W-183:0.143157
>  74-W-184:0.306122
>  74-W-186:0.284414
1.757840e+01 5.69543903e+02
1.771700e+01 7.56010134e+02
1.784900e+01 9.33598184e+02
1.797070e+01 1.22288663e+03
1.798440e+01 1.25545247e+03
1.811970e+01 1.76778225e+03
1.812500e+01 1.80230315e+03
1.825500e+01 2.64912352e+03
1.828130e+01 2.97572809e+03
1.839040e+01 4.33062078e+03
1.843750e+01 5.34305726e+03
1.845800e+01 5.78372167e+03
1.847800e+01 6.44046702e+03
1.851560e+01 7.67514843e+03
1.852570e+01 8.00680770e+03
1.859330e+01 1.15269786e+04
1.859380e+01 1.15684391e+04
1.863280e+01 1.48023614e+04
1.865240e+01 1.64276169e+04
1.866100e+01 1.71407402e+04
1.867190e+01 1.84823259e+04
1.869140e+01 2.08824123e+04
1.871090e+01 2.32825006e+04
1.873050e+01 2.56948986e+04
1.874550e+01 2.75411234e+04
1.875000e+01 2.79127840e+04
1.876950e+01 2.95233151e+04
1.878910e+01 3.11421071e+04
1.880860e+01 3.27526426e+04
1.882810e+01 3.43631805e+04
1.883000e+01 3.45201050e+04
1.886720e+01 3.15361324e+04
1.890630e+01 2.83997630e+04
1.891450e+01 2.77420115e+04
1.898440e+01 1.92383359e+04
1.898530e+01 1.91288471e+04
1.899900e+01 1.74621847e+04
1.906160e+01 1.22060545e+04
1.906250e+01 1.21565336e+04
1.912410e+01 8.76714942e+03
1.914060e+01 8.17281710e+03
1.918670e+01 6.51233167e+03
1.921880e+01 5.73327600e+03
1.924930e+01 4.99310696e+03
1.937440e+01 3.17581799e+03
1.937500e+01 3.17108760e+03
1.949270e+01 2.24353093e+03
1.949950e+01 2.18994227e+03
1.953130e+01 2.04046777e+03
1.962460e+01 1.60238001e+03
1.968750e+01 1.41340894e+03
1.974980e+01 1.22672632e+03
1.984380e+01 1.06428480e+03
2.000000e+01 7.96380871e+02
2.012590e+01 6.83740328e+02
2.023440e+01 5.90010925e+02
2.025180e+01 5.81378480e+02
2.037760e+01 5.26038728e+02
2.046880e+01 4.96218512e+02
2.050350e+01 4.93847150e+02
2.056640e+01 4.99860100e+02
2.062940e+01 5.18457089e+02
2.069230e+01 5.58914736e+02
2.075530e+01 6.40388516e+02
2.081820e+01 8.08484119e+02
2.084970e+01 9.57966314e+02
2.088110e+01 1.19107437e+03
2.091260e+01 1.57400364e+03
2.091440e+01 1.61246520e+03
2.093750e+01 2.10605519e+03
2.094410e+01 2.24811972e+03
2.097550e+01 3.53341318e+03
2.099130e+01 4.59920264e+03
2.100700e+01 6.10452829e+03
2.103350e+01 9.68298912e+03
2.106000e+01 1.21216530e+04
2.108650e+01 9.80826462e+03
2.111300e+01 6.25871325e+03
2.114120e+01 3.85657195e+03
2.116940e+01 2.55002114e+03
2.119760e+01 1.81215195e+03
2.122580e+01 1.36618838e+03
2.125410e+01 1.07890835e+03
2.128230e+01 8.83599888e+02
2.133870e+01 6.42123668e+02
2.139510e+01 5.02633743e+02
2.140630e+01 4.84865022e+02
2.145150e+01 4.16311945e+02
2.156440e+01 3.15921697e+02
2.167720e+01 2.58615777e+02
2.173690e+01 2.38410435e+02
2.179000e+01 2.20443390e+02
2.182890e+01 2.10662547e+02
2.187500e+01 1.99071387e+02
2.190290e+01 1.93055261e+02
2.201570e+01 1.74252954e+02
2.224140e+01 1.45557283e+02
2.234380e+01 1.35319773e+02
2.246710e+01 1.25489428e+02
2.260530e+01 1.16343097e+02
2.269280e+01 1.10560449e+02
2.274330e+01 1.07603419e+02
2.281250e+01 1.03551427e+02
2.291840e+01 9.90812433e+01
2.303950e+01 9.46973716e+01
2.336980e+01 8.27766791e+01
2.347380e+01 7.94500193e+01
2.365770e+01 7.36006486e+01
2.375000e+01 7.06648488e+01
2.382120e+01 6.92018525e+01
2.390800e+01 6.75955365e+01
2.427250e+01 6.09640473e+01
2.434220e+01 5.97755072e+01
2.468750e+01 5.40914214e+01
2.472390e+01 5.36970638e+01
2.477640e+01 5.31762844e+01
2.499350e+01 5.11961328e+01
2.521060e+01 4.94136241e+01
2.542770e+01 4.79479797e+01
2.548660e+01 4.76966812e+01
2.562500e+01 4.71062136e+01
2.562660e+01 4.71059276e+01
2.564490e+01 4.71142276e+01
2.586200e+01 4.82109645e+01
2.607910e+01 5.13651289e+01
2.618760e+01 5.44708251e+01
2.629620e+01 5.95057186e+01
2.640470e+01 6.80012427e+01
2.651330e+01 8.33415981e+01
2.652930e+01 8.70367399e+01
2.656760e+01 9.58942472e+01
2.662190e+01 1.14319319e+02
2.667610e+01 1.42723656e+02
2.673040e+01 1.89478977e+02
2.678470e+01 2.73769561e+02
2.681180e+01 3.43354836e+02
2.683900e+01 4.46667332e+02
2.686610e+01 6.08073676e+02
2.689320e+01 8.75593909e+02
2.692040e+01 1.34777400e+03
2.694750e+01 2.20921936e+03
2.697380e+01 3.52685899e+03
2.700000e+01 4.41963713e+03
2.702630e+01 3.55769312e+03
2.705250e+01 2.24321532e+03
2.707890e+01 1.39323720e+03
2.710530e+01 9.17728413e+02
2.713170e+01 6.43744968e+02
2.715810e+01 4.76251917e+02
2.718450e+01 3.67842731e+02
2.721090e+01 2.94160633e+02
2.726360e+01 2.03795134e+02
2.731550e+01 1.53653446e+02
2.731640e+01 1.52783937e+02
2.736920e+01 1.21236120e+02
2.743200e+01 1.00143067e+02
2.747480e+01 8.57753344e+01
2.750000e+01 8.13375185e+01
2.758030e+01 6.74033311e+01
2.768590e+01 5.65889122e+01
2.779150e+01 4.95993690e+01
2.789700e+01 4.47672744e+01
2.810820e+01 3.85574043e+01
2.831930e+01 3.47083950e+01
2.833480e+01 3.45113869e+01
2.853040e+01 3.20544417e+01
2.874150e+01 3.00455616e+01
2.914440e+01 2.71769508e+01
2.916380e+01 2.70388254e+01
2.937500e+01 2.58756068e+01
2.958600e+01 2.49652938e+01
3.000830e+01 2.34762247e+01
3.014020e+01 2.30681023e+01
3.043060e+01 2.22003486e+01
3.097320e+01 2.07629389e+01
3.125000e+01 2.00296740e+01
3.127510e+01 1.99791022e+01
3.194560e+01 1.87816528e+01
3.211960e+01 1.84805810e+01
3.312500e+01 1.68866756e+01
3.375110e+01 1.61265055e+01
3.380860e+01 1.60585730e+01
3.463100e+01 1.51584466e+01
3.500000e+01 1.47545795e+01
3.549760e+01 1.43644336e+01
3.555650e+01 1.43214347e+01
3.718670e+01 1.31769029e+01
3.803120e+01 1.26300958e+01
3.828870e+01 1.24768289e+01
3.845340e+01 1.23787979e+01
3.866460e+01 1.22624161e+01
3.875000e+01 1.22191377e+01
3.887570e+01 1.21835223e+01
3.908680e+01 1.21373442e+01
3.916740e+01 1.21278855e+01
3.929790e+01 1.21152962e+01
3.950910e+01 1.21317963e+01
3.972020e+01 1.22205302e+01
3.993130e+01 1.24784574e+01
4.003690e+01 1.27559834e+01
4.011760e+01 1.31447348e+01
4.014250e+01 1.32646839e+01
4.024800e+01 1.43113540e+01
4.030080e+01 1.52934869e+01
4.035360e+01 1.69563755e+01
4.040640e+01 2.00943279e+01
4.043280e+01 2.28181895e+01
4.045910e+01 2.70830956e+01
4.048550e+01 3.42648314e+01
4.051190e+01 4.75759887e+01
4.052510e+01 5.87712988e+01
4.053830e+01 7.54575489e+01
4.055150e+01 1.01081250e+02
4.056470e+01 1.40479257e+02
4.058240e+01 2.17202752e+02
4.060000e+01 2.67884408e+02
4.061770e+01 2.16018180e+02
4.063530e+01 1.38920670e+02
4.064610e+01 1.05607831e+02
4.065680e+01 8.22005141e+01
4.066760e+01 6.58211748e+01
4.067830e+01 5.41886864e+01
4.069980e+01 3.94806062e+01
4.072130e+01 3.10637151e+01
4.074280e+01 2.58649993e+01
4.076430e+01 2.24567513e+01
4.078580e+01 2.01101577e+01
4.080730e+01 1.84301185e+01
4.082880e+01 1.71876396e+01
4.085030e+01 1.62448174e+01
4.087180e+01 1.55127370e+01
4.089330e+01 1.49333052e+01
4.090410e+01 1.46877464e+01
4.091490e+01 1.44668250e+01
4.092560e+01 1.42672478e+01
4.093640e+01 1.40862816e+01
4.094710e+01 1.39217493e+01
4.095790e+01 1.37716908e+01
4.097940e+01 1.35087224e+01
4.102240e+01 1.30975836e+01
4.106540e+01 1.27949579e+01
4.115140e+01 1.23886522e+01
4.132340e+01 1.19722085e+01
4.166740e+01 1.16946238e+01
4.194640e+01 1.16760897e+01
4.201150e+01 1.16717643e+01
4.235550e+01 1.17886778e+01
4.250000e+01 1.18968138e+01
4.269960e+01 1.20696028e+01
4.277830e+01 1.21802599e+01
4.304360e+01 1.25573158e+01
4.338770e+01 1.33221444e+01
4.373170e+01 1.45276116e+01
4.377530e+01 1.47758351e+01
4.407570e+01 1.64860684e+01
4.441980e+01 1.98408944e+01
4.468970e+01 2.47378248e+01
4.476380e+01 2.60822584e+01
4.493590e+01 3.13466130e+01
4.510790e+01 3.93107995e+01
4.527990e+01 5.20905101e+01
4.545190e+01 7.43167391e+01
4.560420e+01 1.12754460e+02
4.562390e+01 1.17726378e+02
4.571000e+01 1.56594939e+02
4.579600e+01 2.19219761e+02
4.588200e+01 3.28711408e+02
4.596800e+01 5.42726468e+02
4.601100e+01 7.32281338e+02
4.605400e+01 1.02938597e+03
4.606140e+01 1.11298288e+03
4.609700e+01 1.51515183e+03
4.614000e+01 2.32011257e+03
4.619000e+01 3.74143487e+03
4.624000e+01 4.71938481e+03
4.625000e+01 4.53849124e+03
4.629000e+01 3.81491969e+03
4.634000e+01 2.41264019e+03
4.638250e+01 1.61004814e+03
4.642500e+01 1.11691628e+03
4.646750e+01 8.10607512e+02
4.651000e+01 6.12711739e+02
4.651860e+01 5.89768379e+02
4.659500e+01 3.85945983e+02
4.668000e+01 2.68100001e+02
4.676500e+01 2.00154345e+02
4.685000e+01 1.58143060e+02
4.697580e+01 1.25189860e+02
4.702000e+01 1.13611725e+02
4.719000e+01 9.80477395e+01
4.727500e+01 9.90704192e+01
4.736000e+01 1.07952433e+02
4.743300e+01 1.26892361e+02
4.744500e+01 1.30005781e+02
4.753000e+01 1.79291986e+02
4.757250e+01 2.24822305e+02
4.761500e+01 2.97197475e+02
4.765750e+01 4.16158881e+02
4.766170e+01 4.35639213e+02
4.770000e+01 6.13281326e+02
4.775000e+01 9.65411370e+02
4.780000e+01 1.20714999e+03
4.785000e+01 9.79971260e+02
4.789030e+01 6.97021626e+02
4.790000e+01 6.28917142e+02
4.793280e+01 4.65566085e+02
4.796560e+01 3.53005794e+02
4.803130e+01 2.21441323e+02
4.809690e+01 1.53669182e+02
4.811890e+01 1.40714127e+02
4.816250e+01 1.15039750e+02
4.822810e+01 9.10523948e+01
4.829380e+01 7.51213357e+01
4.834750e+01 6.72092026e+01
4.842500e+01 5.57909077e+01
4.846180e+01 5.27055092e+01
4.855630e+01 4.47832448e+01
4.857610e+01 4.37282161e+01
4.868750e+01 3.77941932e+01
4.869040e+01 3.77027574e+01
4.880470e+01 3.41028548e+01
4.886190e+01 3.23042447e+01
4.891900e+01 3.05124582e+01
4.895000e+01 2.95432019e+01
4.897620e+01 2.90800210e+01
4.900470e+01 2.85803385e+01
4.901900e+01 2.83311382e+01
4.903330e+01 2.80832562e+01
4.904760e+01 2.78370084e+01
4.906190e+01 2.75927825e+01
4.907620e+01 2.73510957e+01
4.909050e+01 2.71126249e+01
4.910470e+01 2.68801312e+01
4.911900e+01 2.66513015e+01
4.913330e+01 2.64297623e+01
4.914760e+01 2.62181126e+01
4.916190e+01 2.60203081e+01
4.917620e+01 2.58422455e+01
4.919050e+01 2.56931985e+01
4.920480e+01 2.55880422e+01
4.921250e+01 2.55694512e+01
4.921900e+01 2.55951265e+01
4.923330e+01 2.57614828e+01
4.924760e+01 2.61102448e+01
4.926190e+01 2.67441449e+01
4.928100e+01 2.80997341e+01
4.930000e+01 2.89733519e+01
4.930950e+01 2.85860431e+01
4.931910e+01 2.77596133e+01
4.933810e+01 2.59871086e+01
4.935880e+01 2.46759099e+01
4.937950e+01 2.38590365e+01
4.940020e+01 2.32957105e+01
4.942080e+01 2.28628573e+01
4.944150e+01 2.24986081e+01
4.946220e+01 2.21747371e+01
4.947500e+01 2.19946269e+01
4.950360e+01 2.17215816e+01
4.954500e+01 2.13708864e+01
4.958630e+01 2.10427428e+01
4.966910e+01 2.04159532e+01
4.975180e+01 1.98087526e+01
4.983450e+01 1.92099759e+01
4.991730e+01 1.86148223e+01
5.000000e+01 1.80228409e+01
5.019790e+01 1.71801959e+01
5.039580e+01 1.63410554e+01
5.047810e+01 1.59927485e+01
5.059360e+01 1.56583451e+01
5.079150e+01 1.50862118e+01
5.095630e+01 1.46103027e+01
5.118730e+01 1.41793650e+01
5.158300e+01 1.34420150e+01
5.191250e+01 1.28283619e+01
5.197880e+01 1.27506606e+01
5.237460e+01 1.22870206e+01
5.286880e+01 1.17083373e+01
5.316610e+01 1.14631125e+01
5.382500e+01 1.09198297e+01
5.395760e+01 1.08446198e+01
5.474910e+01 1.03958088e+01
5.573750e+01 9.83545953e+00
5.625000e+01 9.63106310e+00
5.633220e+01 9.60179019e+00
5.765010e+01 9.13255105e+00
5.791520e+01 9.05970696e+00
5.949820e+01 8.62477255e+00
5.956260e+01 8.60707997e+00
6.028980e+01 8.43980434e+00
6.068550e+01 8.34880114e+00
6.108130e+01 8.25781396e+00
6.147510e+01 8.16740241e+00
6.147700e+01 8.16700872e+00
6.167490e+01 8.12612379e+00
6.187280e+01 8.08545213e+00
6.197170e+01 8.06529393e+00
6.207070e+01 8.04533587e+00
6.216960e+01 8.02581009e+00
6.226860e+01 8.00711456e+00
6.236750e+01 7.99048588e+00
6.241700e+01 7.98394412e+00
6.243130e+01 7.98283227e+00
6.246640e+01 7.98067576e+00
6.250000e+01 7.98256916e+00
6.251590e+01 7.98385775e+00
6.254060e+01 7.99045222e+00
6.256540e+01 8.00310543e+00
6.259010e+01 8.02718597e+00
6.261480e+01 8.07477708e+00
6.262720e+01 8.11559030e+00
6.263960e+01 8.17644193e+00
6.265190e+01 8.26903530e+00
6.265810e+01 8.33209677e+00
6.266430e+01 8.40911743e+00
6.267320e+01 8.54659496e+00
6.268220e+01 8.70523471e+00
6.270000e+01 8.91048748e+00
6.270890e+01 8.85704423e+00
6.271790e+01 8.72045469e+00
6.273570e+01 8.42368345e+00
6.274780e+01 8.28058503e+00
6.276000e+01 8.18263683e+00
6.277210e+01 8.11552400e+00
6.278420e+01 8.06839917e+00
6.280840e+01 8.00875563e+00
6.283270e+01 7.97356290e+00
6.285690e+01 7.95052212e+00
6.288120e+01 7.93407922e+00
6.292960e+01 7.91138889e+00
6.297810e+01 7.89532946e+00
6.302660e+01 7.88241384e+00
6.312360e+01 7.86090865e+00
6.322050e+01 7.84200823e+00
6.331750e+01 7.82422741e+00
6.338760e+01 7.81179608e+00
6.341450e+01 7.80781498e+00
6.351140e+01 7.79380081e+00
6.370540e+01 7.76627438e+00
6.386570e+01 7.74383228e+00
6.389930e+01 7.74063848e+00
6.410480e+01 7.72135580e+00
6.428720e+01 7.71843457e+00
6.434390e+01 7.71756613e+00
6.458290e+01 7.76250254e+00
6.467510e+01 7.81532610e+00
6.470250e+01 7.83103235e+00
6.482200e+01 7.97545809e+00
6.494150e+01 8.30437060e+00
6.500130e+01 8.63145591e+00
6.506100e+01 9.20591216e+00
6.506290e+01 9.24156082e+00
6.512080e+01 1.03279177e+01
6.515070e+01 1.13243478e+01
6.518060e+01 1.29095407e+01
6.521050e+01 1.56227699e+01
6.524030e+01 2.07323467e+01
6.525530e+01 2.50786099e+01
6.527020e+01 3.16186245e+01
6.528520e+01 4.17488706e+01
6.530010e+01 5.75034887e+01
6.531010e+01 7.19622827e+01
6.532010e+01 8.86282753e+01
6.534000e+01 1.10348212e+02
6.536000e+01 9.10183662e+01
6.537990e+01 6.04919143e+01
6.539680e+01 4.29478202e+01
6.541370e+01 3.21136502e+01
6.543060e+01 2.53467211e+01
6.544750e+01 2.09574911e+01
6.548130e+01 1.58924588e+01
6.551510e+01 1.32296626e+01
6.554900e+01 1.16680084e+01
6.558280e+01 1.06751560e+01
