Sb-123(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
191.132 12.7175
191.220 16.9181
191.309 24.2670
191.353 30.1536
191.397 38.6475
191.441 51.4635
191.485 71.8747
191.530 107.046
191.552 134.693
191.574 173.592
191.596 230.687
191.618 317.159
191.640 452.174
191.662 662.882
191.691 1077.64
191.720 1368.66
191.749 1114.59
191.778 711.005
191.801 492.529
191.823 352.573
191.846 261.751
191.869 201.494
191.914 129.922
191.959 91.3929
192.005 68.3713
192.050 53.6108
192.140 36.3914
192.231 27.0835
192.321 21.4719
192.412 17.8081
192.502 15.2734
192.683 12.0651
192.864 10.1702
193.045 8.94544
193.226 8.10127
193.589 7.03165
193.951 6.39489
194.313 5.97883
194.675 5.68897
195.399 5.31776
196.123 5.10244
196.485 5.03895
196.847 5.02536
197.028 5.06885
197.119 5.12479
197.209 5.23204
197.300 5.45344
197.345 5.65689
197.390 5.98839
197.435 6.57720
197.481 7.74604
197.503 8.80545
197.526 10.4920
197.549 13.3207
197.571 18.1582
197.596 26.1785
197.620 31.4943
197.645 26.1402
197.669 18.1492
197.687 14.0410
197.705 11.3875
197.724 9.65689
197.742 8.49571
197.778 7.11287
197.815 6.36528
197.851 5.91903
197.888 5.63373
197.960 5.30189
198.033 5.12221
198.106 5.01302
198.252 4.88916
198.397 4.82088
198.543 4.77667
198.835 4.71983
199.417 4.65308
200.000 4.61075
200.488 4.58835
200.976 4.58714
201.220 4.60967
201.342 4.63737
201.463 4.69044
201.585 4.80210
201.646 4.90727
201.707 5.08398
201.768 5.41272
201.799 5.69243
201.829 6.12057
201.860 6.81757
201.890 8.04355
201.921 10.4045
201.936 12.3899
201.951 15.2314
201.976 21.6714
202.000 25.9641
202.024 21.6717
202.049 15.2302
202.065 12.2637
202.081 10.2306
202.113 7.87438
202.145 6.67714
202.177 6.00695
202.209 5.59680
202.241 5.32990
202.305 5.01666
202.369 4.84652
202.433 4.74399
202.560 4.63068
202.688 4.57167
202.816 4.53609
203.072 4.49502
203.328 4.47099
203.584 4.45415
204.095 4.42988
205.118 4.39548
206.141 4.36833
208.188 4.32313
210.234 4.28341
212.280 4.24455
213.303 4.22421
214.327 4.20286
215.350 4.18197
215.861 4.17446
216.373 4.17527
216.629 4.18368
216.884 4.20420
217.140 4.24966
217.396 4.35189
217.524 4.44840
217.652 4.60559
217.780 4.87671
217.908 5.38469
218.035 6.46313
218.099 7.49921
218.163 9.27350
218.227 12.6480
218.259 15.5692
218.291 20.0821
218.323 27.5498
218.355 40.8269
218.387 66.8788
218.403 89.1639
218.419 121.205
218.432 155.570
218.445 195.043
218.470 247.353
218.496 202.548
218.521 130.591
218.546 83.7390
218.572 57.0774
218.597 41.3907
218.622 31.7070
218.647 25.3397
218.673 20.9851
218.723 15.5723
218.773 12.4629
218.824 10.5156
218.925 8.29864
219.026 7.12122
219.127 6.41725
219.228 5.95890
219.329 5.64238
219.531 5.24081
219.732 5.00194
219.934 4.84615
220.136 4.73765
220.540 4.59768
220.944 4.51201
221.751 4.41288
222.559 4.35786
223.366 4.32745
223.770 4.32400
223.972 4.32887
224.174 4.34359
224.376 4.38136
224.477 4.42042
224.578 4.49031
224.679 4.63035
224.729 4.75817
224.779 4.96747
224.830 5.34420
224.855 5.65388
224.880 6.11289
224.906 6.83175
224.931 8.01683
224.956 10.1030
224.981 13.8972
225.006 19.6734
225.030 23.5212
225.054 19.6731
225.079 13.8958
225.101 10.4544
225.123 8.42556
225.145 7.20135
225.167 6.42766
225.211 5.55874
225.255 5.11689
225.299 4.86315
225.343 4.70525
225.431 4.52678
225.519 4.43318
225.607 4.37773
225.783 4.31710
225.960 4.28526
226.136 4.26560
226.488 4.24162
227.192 4.21444
227.897 4.19544
229.306 4.16356
230.715 4.13330
232.124 4.10228
233.533 4.07134
234.238 4.05923
234.942 4.06022
235.294 4.07921
235.647 4.14866
235.823 4.24785
235.911 4.34386
235.999 4.51014
236.087 4.83380
236.131 5.12239
236.175 5.58668
236.219 6.40120
236.263 7.99771
236.285 9.42176
236.307 11.6743
236.329 15.4045
236.351 21.6878
236.376 32.3218
236.400 39.4163
236.425 32.3245
236.449 21.6906
236.464 16.9659
