Si-29(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
1.11682E+06 3.97547
1.11833E+06 4.23037
1.11984E+06 4.79792
1.12228E+06 6.71478
1.12350E+06 6.61142
1.12472E+06 5.76104
1.12558E+06 5.25361
1.12643E+06 4.88665
1.12814E+06 4.43802
1.12985E+06 4.18778
1.13157E+06 4.02782
1.13499E+06 3.82167
1.13841E+06 3.67632
1.14526E+06 3.44147
1.15210E+06 3.22434
1.15770E+06 3.03636
1.16050E+06 2.93071
1.16330E+06 2.80977
1.16610E+06 2.66306
1.16890E+06 2.47236
1.17170E+06 2.20919
1.17310E+06 2.04471
1.17450E+06 1.87485
1.17655E+06 1.77128
1.17860E+06 2.23206
1.18070E+06 3.00599
1.18280E+06 3.38317
1.18512E+06 3.47590
1.18744E+06 3.47021
1.18976E+06 3.44855
1.19092E+06 3.42749
1.19150E+06 3.41316
1.19179E+06 3.44380
1.19194E+06 3.54010
1.19201E+06 3.66252
1.19208E+06 3.89305
1.19217E+06 4.46068
1.19227E+06 5.09656
1.19246E+06 4.71827
1.19254E+06 4.43634
1.19262E+06 4.23954
1.19278E+06 4.01102
1.19295E+06 3.89335
1.19311E+06 3.82608
1.19344E+06 3.75823
1.19377E+06 3.72988
1.19508E+06 3.73646
1.19770E+06 3.93659
1.20760E+06 5.75341
1.21255E+06 5.69226
1.21750E+06 5.03559
1.22266E+06 4.45503
1.22781E+06 4.06394
1.23813E+06 3.61241
1.24844E+06 3.36534
1.25875E+06 3.20745
1.27938E+06 3.01040
1.30000E+06 2.88646
1.30000E+06 2.87831
1.31000E+06 2.83208
1.31730E+06 2.80275
1.31731E+06 2.80268
1.32000E+06 2.79188
1.33000E+06 2.75641
1.34000E+06 2.72475
1.35000E+06 2.69634
1.36000E+06 2.67121
1.37000E+06 2.65220
1.37250E+06 2.65799
1.37500E+06 2.66378
1.37750E+06 2.66958
1.38000E+06 2.67538
1.38150E+06 2.71239
1.38300E+06 2.74940
1.38400E+06 2.82985
1.38500E+06 2.91032
1.38640E+06 3.19983
1.38740E+06 3.58852
1.38780E+06 3.77847
1.38820E+06 3.95541
1.38860E+06 4.07687
1.38890E+06 4.10849
1.38920E+06 4.08210
1.38960E+06 3.97305
1.39000E+06 3.81552
1.39040E+06 3.64696
1.39140E+06 3.29418
1.39220E+06 3.13779
1.39300E+06 2.98144
1.39400E+06 2.89688
1.39500E+06 2.81234
1.39750E+06 2.74401
1.40000E+06 2.67571
1.40500E+06 2.64105
1.41000E+06 2.60640
1.42000E+06 2.57664
1.43000E+06 2.55550
1.44000E+06 2.53788
1.45000E+06 2.52217
1.46000E+06 2.50778
1.47000E+06 2.49440
1.48000E+06 2.48180
1.49000E+06 2.47018
1.50000E+06 2.45855
1.60000E+06 2.21000
1.70000E+06 1.96000
1.75000E+06 1.84200
1.75075E+06 1.83988
1.75234E+06 1.82526
1.75393E+06 1.83238
1.75553E+06 1.86262
1.75713E+06 1.83537
1.75873E+06 1.84284
1.76034E+06 1.85111
1.76194E+06 1.84747
1.76355E+06 1.85035
1.76516E+06 1.83089
1.76677E+06 1.82555
1.76839E+06 1.80832
1.77001E+06 1.83087
1.77162E+06 1.78864
1.77325E+06 1.77773
1.77487E+06 1.75993
1.77650E+06 1.77040
1.77812E+06 1.72399
1.77975E+06 1.77777
1.78139E+06 1.77071
1.78237E+06 1.77366
1.78269E+06 1.71872
1.78302E+06 1.76151
1.78335E+06 1.86291
1.78368E+06 1.92576
1.78400E+06 1.96866
1.78433E+06 2.07194
1.78466E+06 2.05862
1.78499E+06 2.23981
