19-K_n-g
>   19-K-39:0.932690
>   19-K-41:0.067310
3.216920e+03 1.25084710e-02
3.218490e+03 1.08902578e-02
3.219050e+03 1.05600637e-02
3.221640e+03 9.31033834e-03
3.224790e+03 8.70685969e-03
3.231090e+03 8.61531453e-03
3.237390e+03 9.12522349e-03
3.239030e+03 9.32038359e-03
3.243690e+03 1.12409329e-02
3.249020e+03 1.35600865e-02
3.254020e+03 1.80076105e-02
3.256290e+03 2.17288934e-02
3.259020e+03 2.62444891e-02
3.264010e+03 4.38527073e-02
3.266510e+03 6.12454520e-02
3.269010e+03 9.25857382e-02
3.270260e+03 1.18657335e-01
3.271510e+03 1.57959887e-01
3.272750e+03 2.21205610e-01
3.274000e+03 3.32600445e-01
3.274630e+03 4.23278831e-01
3.275250e+03 5.56761248e-01
3.275880e+03 7.65528463e-01
3.276500e+03 1.11702253e+00
3.277130e+03 1.77891952e+00
3.277440e+03 2.35058139e+00
3.277750e+03 3.24186684e+00
3.278060e+03 4.73918635e+00
3.278380e+03 7.47921277e+00
3.278530e+03 9.75714860e+00
3.278690e+03 1.31173500e+01
3.278840e+03 1.82005099e+01
3.279000e+03 2.58961348e+01
3.279220e+03 4.14670216e+01
3.279430e+03 5.17823861e+01
3.279650e+03 4.13915634e+01
3.279870e+03 2.58978997e+01
3.280080e+03 1.61960553e+01
3.280290e+03 1.06538223e+01
3.280500e+03 7.40927146e+00
3.280710e+03 5.40406057e+00
3.280920e+03 4.09676305e+00
3.281130e+03 3.20406494e+00
3.281480e+03 2.28854896e+00
3.281550e+03 2.10544614e+00
3.281970e+03 1.48475830e+00
3.282390e+03 1.10175721e+00
3.283230e+03 6.74731001e-01
3.284070e+03 4.55183572e-01
3.284910e+03 3.27810178e-01
3.285750e+03 2.47461155e-01
3.286590e+03 1.93566021e-01
3.288270e+03 1.28034078e-01
3.289950e+03 9.12353331e-02
3.293310e+03 5.35633881e-02
3.296670e+03 3.56411565e-02
3.300030e+03 2.57371686e-02
3.306680e+03 1.58370043e-02
