Na-23(n,tot) ENDF/B-VII.1
Energy(eV) XS(b)
431460 3.72943
431940 3.67031
432900 3.56538
433010 3.55983
433458 3.49632
433905 3.45174
434800 3.40268
436060 3.29321
437320 3.22212
439430 3.24400
441750 3.40588
443530 3.81277
445310 4.57879
446150 5.14512
447485 6.09585
448820 6.59356
449260 6.47180
450550 5.73654
451840 4.88208
452330 4.59266
453485 4.08180
454640 3.75037
456320 3.41613
458000 3.20525
459310 3.08791
462400 2.89586
465490 2.76321
474095 2.58375
482700 2.45342
485810 2.42483
490360 2.38580
491500 2.37657
493610 2.34362
495560 2.31411
497720 2.28273
500000 2.24759
500000 2.23005
500110 2.22873
504010 2.17975
507800 2.13199
508170 2.16467
508390 2.50745
508520 2.93005
508600 3.15034
508670 2.98434
508860 2.38482
509010 2.17161
509270 2.10660
511400 2.07415
519460 1.93341
522560 1.99350
526940 2.14530
527410 2.18407
529820 2.38354
533090 2.79526
536790 3.33691
539130 3.61864
541060 3.77696
541770 3.83532
543720 3.92196
546150 3.97978
548540 3.99416
553220 3.97256
558100 3.93641
559260 3.92702
562950 3.89716
563400 3.97080
563680 4.21396
563790 4.50794
563940 4.91648
563990 5.04096
564080 4.89841
564280 4.25664
564460 4.00963
564800 3.88409
565820 3.89706
566260 3.84068
569900 3.84514
572910 3.88496
574590 3.90721
580310 4.06915
583410 4.16734
583970 4.20372
587580 4.43880
590560 4.71044
592420 4.87652
593600 4.98190
596320 5.13045
596460 5.13809
597590 5.21307
598790 5.34632
598920 5.41156
599260 5.58312
599560 6.05112
599740 6.34554
599920 6.00456
600000 5.86988
600160 5.60022
600400 5.30548
600750 5.16693
600870 5.14791
601410 5.06283
604120 4.85156
605340 4.75656
606720 4.65442
607370 4.60637
609970 4.48937
611480 4.42148
614700 4.29433
615820 4.27105
619460 4.19614
621670 4.20861
622560 4.21357
624670 4.29809
625570 4.44116
626620 4.60778
627110 4.70191
627590 4.59863
628980 4.33583
630120 4.31252
630360 4.30751
633370 4.33767
634100 4.34513
635970 4.37201
636700 4.38264
639220 4.45655
642790 4.56100
648970 4.79914
652780 4.94597
657420 5.18917
660000 5.32440
663350 5.49997
668220 5.78173
669770 5.90714
673910 6.24183
681390 6.84280
682520 7.07751
683010 7.99760
683420 8.81439
683580 8.42020
684070 7.36869
684800 7.19009
686510 7.31218
687970 7.45718
688780 7.53762
693940 7.96949
695770 8.11652
698380 8.32645
701130 8.52353
702280 8.57892
704440 8.68306
707480 8.76944
707750 8.77700
710350 8.81458
713330 8.75062
713870 8.73942
718170 8.51435
718530 8.48645
721780 8.23480
722540 8.17609
725680 7.84935
726060 7.80993
730280 7.25594
733480 6.82330
735490 6.55158
738680 6.11050
740990 5.79110
744860 5.25590
746830 5.07755
747130 5.07433
747680 5.06816
748100 5.53761
748730 5.00228
749300 4.85214
750000 4.71949
750040 4.71176
752330 4.59628
754910 4.46624
757260 4.39402
757530 4.39170
758940 4.37957
761630 4.53122
762730 4.55709
763470 4.57471
765150 5.31130
765660 5.80253
766160 5.91795
766500 6.19248
767000 6.38750
768850 6.30080
770530 6.49239
771700 6.62601
773210 6.90033
776070 7.08095
777910 7.13146
779590 7.08814
780930 7.04201
782950 6.97255
786140 6.83532
786780 6.79815
789500 6.64025
796050 6.16359
800000 5.88852
801730 5.76800
804450 5.57848
810160 5.22458
812780 5.09080
818220 4.81292
826440 4.51182
827290 4.48073
832660 4.30006
840550 4.11230
842690 4.06714
850460 3.90294
852440 3.88157
857850 3.82342
858940 3.82039
865740 3.80169
871940 3.82945
873800 3.83783
880000 3.91988
880350 3.92448
883640 4.05438
886570 4.17007
892280 4.48068
893390 4.58550
896640 4.89235
897290 4.95200
899160 5.12351
902290 5.46153
902490 5.47756
904560 5.64615
905700 5.73285
907520 5.90031
911390 5.87699
911590 5.86962
913210 5.80794
915030 5.68648
917300 5.47851
922760 4.98161
926540 4.66434
928680 4.48458
933690 4.14376
936410 3.95883
943240 3.62948
944100 3.60139
946420 3.52548
949610 3.35790
952570 3.28865
953200 3.27981
959050 3.19837
962120 3.15571
964250 3.15078
964630 3.14991
965760 3.23650
966450 3.72753
966670 4.61180
967130 4.98726
967810 4.73319
968270 4.21315
968490 3.46772
969180 3.21336
971220 3.20195
973350 3.27677
974180 3.30592
976460 3.46769
979190 3.75655
980550 3.92992
981920 3.99931
982450 4.00053
984420 4.00519
985790 3.91265
987000 3.81588
988970 3.65855
992200 3.43251
992610 3.40408
996100 3.25520
997620 3.19027
999440 3.20187
1.00000E+06 3.17168
1.00010E+06 3.16629
1.00190E+06 3.06902
1.00560E+06 3.09795
1.00730E+06 3.09500
1.00900E+06 3.09211
1.01260E+06 3.16137
1.01320E+06 3.18220
1.01760E+06 3.33479
1.02360E+06 3.65260
1.02510E+06 3.71031
1.02900E+06 3.86058
1.03170E+06 3.91257
1.03350E+06 3.92100
