12-Mg_n-g
>  12-Mg-24:0.789900
>  12-Mg-25:0.100000
>  12-Mg-26:0.110100
9.978530e+04 1.91775992e-02
9.978980e+04 3.35145555e-02
9.979200e+04 4.70280941e-02
9.979430e+04 6.82977118e-02
9.979710e+04 1.08415325e-01
9.980000e+04 1.35034716e-01
9.980290e+04 1.08256108e-01
9.980580e+04 6.82891001e-02
9.980880e+04 4.15569710e-02
9.981180e+04 2.70686419e-02
9.981490e+04 1.89256918e-02
9.981790e+04 1.40498626e-02
9.982400e+04 8.82863341e-03
9.983000e+04 6.28305515e-03
9.984220e+04 3.99901668e-03
9.985430e+04 3.04068919e-03
9.987860e+04 2.26731624e-03
9.990290e+04 1.96743128e-03
9.995140e+04 1.73382834e-03
1.000000e+05 1.64176343e-03
1.001630e+05 1.54683709e-03
1.003250e+05 1.51117501e-03
1.006500e+05 1.46516688e-03
1.013000e+05 1.38981602e-03
1.026000e+05 1.25377971e-03
1.032500e+05 1.19560855e-03
1.039000e+05 1.15541510e-03
1.042250e+05 1.15075107e-03
1.045500e+05 1.16849104e-03
1.047940e+05 1.21534127e-03
1.048750e+05 1.23522810e-03
1.052000e+05 1.40398091e-03
1.055000e+05 1.66672167e-03
1.058000e+05 1.83418742e-03
1.061000e+05 1.62263317e-03
1.064000e+05 1.32603693e-03
1.066020e+05 1.18494471e-03
1.068050e+05 1.08604914e-03
1.072090e+05 9.63087719e-04
1.076140e+05 8.89390937e-04
1.080190e+05 8.37586954e-04
1.088280e+05 7.61452246e-04
1.095870e+05 7.03907654e-04
1.096370e+05 7.01339034e-04
1.112560e+05 6.32608769e-04
1.128750e+05 5.70446004e-04
1.143810e+05 5.15277081e-04
1.161120e+05 4.73866927e-04
1.191750e+05 4.03033388e-04
1.193500e+05 4.00649662e-04
1.258240e+05 3.15009461e-04
1.287620e+05 2.76794412e-04
1.299450e+05 2.68681176e-04
1.322990e+05 2.52565583e-04
1.383490e+05 2.11998521e-04
1.452490e+05 1.91858568e-04
1.575240e+05 1.57164828e-04
1.581980e+05 1.56574021e-04
1.598890e+05 1.55205045e-04
1.671110e+05 1.49540303e-04
1.719050e+05 1.49380795e-04
1.743020e+05 1.51778167e-04
1.755000e+05 1.60194545e-04
1.760990e+05 1.92584391e-04
1.763990e+05 3.20703029e-04
1.765490e+05 8.26414791e-04
1.766230e+05 2.79692596e-03
1.766610e+05 1.02993266e-02
1.766800e+05 3.72714897e-02
1.766890e+05 1.25922994e-01
1.766940e+05 3.67712964e-01
1.766960e+05 8.35682110e-01
1.766970e+05 1.48826589e+00
1.766980e+05 2.97165860e+00
1.766990e+05 4.78720425e+00
1.767000e+05 5.96195143e+00
1.767010e+05 4.78716476e+00
1.767020e+05 2.97165860e+00
1.767030e+05 1.65985587e+00
1.767040e+05 9.98883349e-01
1.767060e+05 4.73352611e-01
1.767090e+05 1.71078418e-01
1.767170e+05 5.22528925e-02
1.767330e+05 1.46588665e-02
1.767640e+05 3.96927742e-03
1.768260e+05 1.13179319e-03
1.769500e+05 3.99184011e-04
1.771990e+05 2.13061825e-04
1.776950e+05 1.66323314e-04
1.786890e+05 1.55074171e-04
1.790990e+05 1.54749252e-04
1.799450e+05 1.54127720e-04
1.806760e+05 1.53623893e-04
1.846510e+05 1.57079432e-04
1.895500e+05 1.64713396e-04
1.899720e+05 1.65394942e-04
1.926010e+05 1.69801017e-04
1.949860e+05 1.76804289e-04
2.000000e+05 1.92002952e-04
2.049450e+05 2.08485847e-04
2.049980e+05 2.08684640e-04
2.074170e+05 2.18072698e-04
2.074980e+05 2.18442310e-04
2.085000e+05 2.23746226e-04
2.087470e+05 2.25500371e-04
2.093720e+05 2.33446358e-04
2.096840e+05 2.51235130e-04
2.098410e+05 3.13963028e-04
2.098890e+05 4.58896578e-04
2.099190e+05 5.49530817e-04
2.099580e+05 1.39840823e-03
2.099770e+05 4.17123556e-03
2.099870e+05 1.17684931e-02
2.099920e+05 2.70947319e-02
2.099970e+05 9.35618706e-02
2.100000e+05 1.86615894e-01
2.100030e+05 9.32844172e-02
2.100080e+05 2.70952559e-02
2.100130e+05 1.17690947e-02
2.100230e+05 4.17188225e-03
2.100420e+05 1.39923958e-03
2.100810e+05 5.50914988e-04
2.101600e+05 3.16482965e-04
2.103160e+05 2.55977211e-04
2.106280e+05 2.42652802e-04
2.112530e+05 2.43666239e-04
2.123610e+05 2.51692533e-04
2.125030e+05 2.53162359e-04
2.135970e+05 2.65300759e-04
2.148340e+05 2.85248886e-04
2.150020e+05 2.89221882e-04
2.154520e+05 3.03617814e-04
2.160700e+05 3.29289147e-04
2.166880e+05 3.65630491e-04
2.173060e+05 4.23391129e-04
2.179240e+05 5.31232073e-04
2.182330e+05 6.27865290e-04
2.185420e+05 7.87669483e-04
2.188510e+05 1.08355617e-03
2.190060e+05 1.33695873e-03
2.191600e+05 1.72942765e-03
2.193150e+05 2.38113016e-03
2.194690e+05 3.56478979e-03
2.195460e+05 4.54048876e-03
2.196240e+05 5.96573909e-03
2.197010e+05 8.10251962e-03
2.197780e+05 1.12969758e-02
2.198890e+05 1.79216122e-02
2.200000e+05 2.23327871e-02
2.200010e+05 2.22927792e-02
2.200020e+05 2.22527729e-02
2.200040e+05 2.21727586e-02
2.200080e+05 2.20127285e-02
2.200110e+05 2.18927071e-02
2.200220e+05 2.14526263e-02
2.200320e+05 2.10525535e-02
2.200330e+05 2.10125463e-02
2.200360e+05 2.08925234e-02
2.200390e+05 2.07724996e-02
2.200440e+05 2.05724655e-02
2.200480e+05 2.04124370e-02
2.200550e+05 2.01323855e-02
2.200640e+05 1.97723198e-02
2.200670e+05 1.96522976e-02
2.200780e+05 1.92122176e-02
2.200890e+05 1.87721376e-02
2.200960e+05 1.84920861e-02
2.201110e+05 1.78919768e-02
2.201330e+05 1.65813656e-02
2.201550e+05 1.52707545e-02
2.201770e+05 1.39601426e-02
2.201860e+05 1.34239840e-02
2.202000e+05 1.25899583e-02
