Rb-85(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
593.453 13.1294
593.513 9.29893
593.573 6.88173
593.692 4.16891
593.812 2.78742
593.932 1.99614
594.051 1.50399
594.290 0.950413
594.530 0.663499
594.769 0.496119
595.248 0.318685
595.726 0.231445
596.205 0.182130
597.162 0.131074
598.119 0.106306
599.077 0.0922735
600.991 0.0774778
604.820 0.0656906
608.649 0.0612926
616.307 0.0608467
623.965 0.0699359
631.623 0.0969636
635.451 0.126176
639.280 0.180852
641.195 0.227381
643.109 0.298685
645.024 0.415665
646.938 0.627047
647.896 0.803298
648.853 1.06947
649.810 1.49885
650.767 2.25789
651.246 2.87759
651.724 3.79448
652.203 5.23332
652.682 7.67747
653.160 12.3245
653.400 16.3926
653.639 22.8179
653.878 33.7698
653.998 42.3416
654.117 54.4340
654.237 72.1273
654.357 98.9504
654.476 141.040
654.596 207.374
654.748 331.609
654.900 414.305
655.052 331.461
655.204 207.222
655.327 139.430
655.450 97.0396
655.573 70.2922
655.696 52.8101
655.942 32.5480
656.187 21.9021
656.433 15.6871
656.679 11.7686
657.171 7.30826
657.662 4.96999
658.154 3.59698
658.646 2.72335
659.137 2.13387
660.121 1.41251
661.104 1.00504
662.087 0.752665
663.071 0.585621
665.037 0.385207
667.004 0.274125
668.971 0.206171
670.937 0.161570
674.871 0.108442
678.804 0.0791287
682.737 0.0611973
686.670 0.0493913
694.537 0.0352123
702.404 0.0272671
718.137 0.0190311
733.870 0.0150859
749.603 0.0131563
765.336 0.0131961
773.203 0.0160598
775.170 0.0185995
777.136 0.0250516
778.119 0.0333571
779.103 0.0553124
779.594 0.0837476
779.840 0.110581
780.086 0.156667
780.332 0.245997
780.455 0.325816
780.578 0.454734
780.701 0.681830
780.824 1.13321
780.885 1.54176
780.946 2.19627
781.008 3.30342
781.069 5.21086
781.135 8.33116
781.200 10.4077
781.265 8.32684
781.331 5.21190
781.400 3.13481
781.469 2.00711
781.537 1.37250
781.606 0.991641
781.675 0.747912
781.744 0.583984
781.882 0.385449
782.020 0.274893
782.157 0.207441
782.433 0.133004
782.708 0.0951898
782.984 0.0734923
783.535 0.0510396
784.637 0.0349569
785.738 0.0303098
787.942 0.0308541
790.146 0.0388587
792.350 0.0588652
793.452 0.0792968
794.554 0.116617
795.105 0.147949
795.656 0.195519
796.207 0.272790
796.758 0.410619
797.033 0.524152
797.309 0.693618
797.584 0.962679
797.859 1.42719
798.135 2.33371
798.273 3.14977
798.410 4.47580
798.548 6.83650
798.617 8.76493
798.686 11.5986
798.755 15.9799
798.824 23.1226
798.893 35.4945
798.961 57.4639
799.031 91.9655
799.100 114.924
799.169 91.9181
799.239 57.4720
799.288 40.5729
799.337 29.3681
799.386 21.9193
799.435 16.8466
799.533 10.7109
799.631 7.35432
799.729 5.34021
799.827 4.04720
800.023 2.54857
800.219 1.74913
800.415 1.27462
800.611 0.970219
800.807 0.763693
801.199 0.509418
801.591 0.364894
801.984 0.275000
802.376 0.215316
803.160 0.143480
803.944 0.103547
804.728 0.0790753
805.513 0.0629975
807.081 0.0438424
808.649 0.0332910
811.786 0.0226437
814.923 0.0176287
818.060 0.0148627
824.334 0.0120614
836.882 0.0100276
849.429 0.00938194
874.524 0.00935448
899.619 0.0103036
924.715 0.0124963
949.810 0.0174330
962.357 0.0225087
974.905 0.0325118
981.179 0.0421216
987.453 0.0599689
990.589 0.0759581
993.726 0.102851
996.863 0.155319
998.432 0.203843
1000.00 0.286624
1000.85 0.358958
1001.70 0.467610
1002.55 0.642400
1003.40 0.951190
1003.82 1.20479
1004.24 1.58128
1004.67 2.17894
1005.09 3.20688
1005.52 5.21604
1005.73 7.02099
1005.94 9.95844
1006.05 12.1681
1006.15 15.1937
1006.26 19.4793
1006.37 25.8023
1006.47 35.6005
1006.58 51.6825
1006.68 79.7086
1006.74 101.280
1006.79 130.051
1006.90 208.102
1007.00 260.172
1007.11 208.083
1007.21 130.046
1007.29 88.3039
1007.38 61.9211
1007.46 45.1358
1007.54 34.0961
1007.71 21.2306
1007.87 14.4410
1008.04 10.4829
1008.21 8.00443
1008.54 5.27962
1008.87 4.06931
1009.20 3.92864
1009.37 4.47631
1009.53 6.05614
1009.62 7.73536
1009.70 10.7510
1009.78 16.5728
1009.86 28.1847
1009.93 44.2854
1010.00 54.7961
1010.07 43.9234
1010.14 27.9581
1010.22 16.6105
1010.29 10.7663
1010.37 7.55040
1010.45 5.63924
1010.60 3.59921
1010.75 2.58866
1010.91 2.00534
1011.06 1.63666
1011.37 1.19926
1011.99 0.787774
1012.60 0.590423
1013.84 0.398276
1015.07 0.307790
1017.54 0.232515
1020.00 0.214857
1022.47 0.227472
1024.94 0.268306
1027.40 0.361998
1028.02 0.411130
1028.64 0.504663
1028.95 0.603267
1029.25 0.821184
1029.41 1.05922
1029.56 1.55211
1029.64 2.02398
1029.72 2.83381
1029.79 4.34348
1029.87 7.31560
1029.94 11.4770
1030.00 14.1985
1030.07 11.4195
1030.13 7.33446
1030.18 5.36632
1030.22 4.06817
1030.31 2.57235
1030.40 1.82937
1030.49 1.42064
1030.67 1.02140
1030.84 0.847224
1031.20 0.717714
1031.55 0.688214
1032.98 0.805828
1034.40 1.09576
1035.82 1.62792
1036.53 2.06485
1037.24 2.70993
1037.96 3.71885
1038.67 5.42269
1039.02 6.75311
1039.38 8.63083
1039.73 11.4147
1040.09 15.7512
1040.44 23.0473
1040.80 36.4443
1040.98 47.6565
1041.16 64.2707
1041.33 89.5471
1041.51 127.801
1041.76 204.706
1042.00 256.034
1042.25 204.597
1042.49 127.693
1042.76 74.7812
1043.03 46.9940
1043.30 31.6360
1043.57 22.5809
1043.84 16.8357
1044.11 13.0153
1044.65 8.41676
1045.19 5.87055
1045.73 4.32534
1046.82 2.62403
1047.90 1.76040
1048.98 1.26338
1050.06 0.951581
1051.14 0.743273
1053.30 0.490912
1055.46 0.349827
1057.63 0.263021
1059.79 0.205846
1064.11 0.137612
1068.44 0.100072
1072.76 0.0773049
1077.09 0.0625431
1085.73 0.0454585
1094.38 0.0367354
1111.68 0.0302287
