Br-81(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
772.535 0.807546
772.687 0.568185
772.840 0.424198
773.145 0.267394
773.450 0.188433
773.755 0.143217
774.366 0.0960253
774.976 0.0731286
775.586 0.0602632
776.807 0.0469616
779.248 0.0367032
781.689 0.0325722
791.454 0.0268333
810.984 0.0239727
820.749 0.0250907
830.514 0.0311323
835.397 0.0405253
837.838 0.0501233
840.279 0.0678016
842.721 0.105680
843.941 0.143296
845.162 0.211467
845.772 0.268505
846.382 0.354978
846.993 0.495232
847.603 0.745141
847.908 0.950814
848.213 1.25748
848.518 1.74409
848.824 2.58328
849.129 4.21833
849.281 5.68713
849.434 8.06947
849.586 12.2986
849.663 15.7436
849.739 20.8008
849.815 28.5832
849.892 41.2322
849.968 62.9719
850.044 101.258
850.122 162.037
850.200 202.477
850.278 161.933
850.356 101.236
850.409 72.2080
850.463 52.7103
850.516 39.5806
850.570 30.5768
850.677 19.5806
850.783 13.5063
850.890 9.83828
850.997 7.47276
851.211 4.71836
851.425 3.24404
851.638 2.36627
851.852 1.80252
852.066 1.41937
852.493 0.947198
852.920 0.678535
853.348 0.511320
853.775 0.400259
854.630 0.266559
855.485 0.192242
856.340 0.146715
857.195 0.116821
858.904 0.0812466
860.614 0.0616895
864.033 0.0420252
867.452 0.0328245
870.872 0.0277942
877.710 0.0227885
891.388 0.0193920
905.065 0.0186367
932.419 0.0202960
946.096 0.0244428
949.516 0.0275861
952.935 0.0354591
954.645 0.0457153
955.499 0.0556800
956.354 0.0735215
957.209 0.110694
957.637 0.146753
958.064 0.210591
958.491 0.340290
958.705 0.462307
958.919 0.670679
959.132 1.07018
959.239 1.42324
959.346 1.98560
959.453 2.95826
959.560 4.83106
959.613 6.47305
959.667 9.01594
959.720 13.1187
959.774 19.8144
959.837 31.7019
959.900 39.6118
959.963 31.6836
960.027 19.8168
960.093 11.9542
960.159 7.66767
960.225 5.24100
960.291 3.78066
960.357 2.84419
960.423 2.21419
960.555 1.44864
960.687 1.02185
960.819 0.760845
961.083 0.472277
961.348 0.325100
961.612 0.240174
962.140 0.151158
962.669 0.107993
963.197 0.0839177
964.254 0.0595694
965.310 0.0483038
966.367 0.0423654
968.481 0.0371024
972.708 0.0359237
976.935 0.0403153
981.162 0.0518147
983.275 0.0634601
985.389 0.0846221
987.502 0.129411
988.559 0.173564
989.616 0.253164
990.144 0.319507
990.673 0.419758
991.201 0.581692
991.729 0.868536
991.994 1.10330
992.258 1.45158
992.522 2.00005
992.786 2.93646
993.050 4.73095
993.183 6.31509
993.315 8.83932
993.447 13.1972
993.579 21.5853
993.645 28.9212
993.711 40.2676
993.777 58.5366
993.843 88.2778
993.922 141.258
994.000 176.511
994.079 141.171
994.157 88.2607
994.248 50.4433
994.340 31.1167
994.431 20.7205
994.522 14.6655
994.614 10.8810
994.705 8.37561
994.888 5.38698
995.070 3.74896
995.253 2.75849
995.618 1.67476
995.983 1.12729
996.348 0.813238
996.714 0.616698
997.079 0.485681
997.809 0.327342
998.539 0.239061
999.270 0.184909
1000.00 0.149367
1001.18 0.113227
1002.37 0.0914625
1004.74 0.0679098
1009.47 0.0501680
1018.94 0.0439034
1028.41 0.0510549
1030.78 0.0575070
1033.14 0.0737238
1034.33 0.0947544
1034.92 0.115073
1035.51 0.151117
1036.10 0.225404
1036.40 0.296516
1036.69 0.420520
1036.99 0.666429
1037.14 0.891747
1037.29 1.26550
1037.43 1.95065
1037.51 2.52786
1037.58 3.40410
1037.66 4.81571
1037.73 7.26310
1037.80 11.8772
1037.88 20.9022
1037.94 33.4409
1038.00 41.8119
1038.06 33.4428
1038.12 20.9048
1038.19 12.9738
1038.25 8.54970
1038.31 5.96157
1038.37 4.36223
1038.49 2.60726
1038.61 1.73059
1038.73 1.23517
1038.85 0.929412
1039.09 0.588500
1039.33 0.412735
1039.57 0.311359
1040.05 0.204668
1040.53 0.152723
1041.01 0.123836
1041.97 0.0947306
1043.89 0.0746763
1045.81 0.0691141
