74-W_n-g
>  74-W-180:0.001200
>  74-W-182:0.265106
>  74-W-183:0.143157
>  74-W-184:0.306122
>  74-W-186:0.284414
3.500000e+01 7.67614303e-01
3.549760e+01 7.38056961e-01
3.555650e+01 7.36370978e-01
3.718670e+01 7.00133535e-01
3.803120e+01 7.11066878e-01
3.828870e+01 7.23816780e-01
3.845340e+01 7.31973470e-01
3.866460e+01 7.49338022e-01
3.875000e+01 7.59280046e-01
3.887570e+01 7.76018394e-01
3.908680e+01 8.15034418e-01
3.916740e+01 8.36699510e-01
3.929790e+01 8.72318247e-01
3.950910e+01 9.61546925e-01
3.972020e+01 1.11450741e+00
3.993130e+01 1.42073062e+00
4.003690e+01 1.71064350e+00
4.011760e+01 2.09662877e+00
4.014250e+01 2.21572494e+00
4.024800e+01 3.22547221e+00
4.030080e+01 4.16317343e+00
4.035360e+01 5.74578381e+00
4.040640e+01 8.73047642e+00
4.043280e+01 1.13234158e+01
4.045910e+01 1.53881431e+01
4.048550e+01 2.22432893e+01
4.051190e+01 3.49737527e+01
4.052510e+01 4.56976221e+01
4.053830e+01 6.17012744e+01
4.055150e+01 8.63119709e+01
4.056470e+01 1.24216823e+02
4.058240e+01 1.98250020e+02
4.060000e+01 2.47656017e+02
4.061770e+01 1.98316427e+02
4.063530e+01 1.24233396e+02
4.064610e+01 9.21334040e+01
4.065680e+01 6.95454992e+01
4.066760e+01 5.37200548e+01
4.067830e+01 4.24684873e+01
4.069980e+01 2.82218020e+01
4.072130e+01 2.00542898e+01
4.074280e+01 1.50015933e+01
4.076430e+01 1.16844639e+01
4.078580e+01 9.39799519e+00
4.080730e+01 7.75945627e+00
4.082880e+01 6.54681021e+00
4.085030e+01 5.62620497e+00
4.087180e+01 4.91124514e+00
4.089330e+01 4.34542654e+00
4.090410e+01 4.10569939e+00
4.091490e+01 3.89010855e+00
4.092560e+01 3.69536389e+00
4.093640e+01 3.51888362e+00
4.094710e+01 3.35849670e+00
4.095790e+01 3.21232282e+00
4.097940e+01 2.95641107e+00
4.102240e+01 2.55730959e+00
4.106540e+01 2.26493184e+00
4.115140e+01 1.87602981e+00
4.132340e+01 1.48791270e+00
4.166740e+01 1.24811021e+00
4.194640e+01 1.23298286e+00
4.201150e+01 1.22945516e+00
4.235550e+01 1.29912353e+00
4.250000e+01 1.35482537e+00
4.269960e+01 1.43336746e+00
4.277830e+01 1.47968323e+00
4.304360e+01 1.63647348e+00
4.338770e+01 1.92856239e+00
4.373170e+01 2.35324929e+00
4.377530e+01 2.43446659e+00
4.407570e+01 2.99406330e+00
4.441980e+01 4.02022905e+00
4.468970e+01 5.42839977e+00
4.476380e+01 5.81501442e+00
4.493590e+01 7.26847673e+00
4.510790e+01 9.40836522e+00
4.527990e+01 1.27534518e+01
4.545190e+01 1.84266762e+01
4.560420e+01 2.80039610e+01
4.562390e+01 2.92427852e+01
4.571000e+01 3.87708433e+01
4.579600e+01 5.39510380e+01
4.588200e+01 8.02004385e+01
4.596800e+01 1.30948485e+02
4.601100e+01 1.75550246e+02
4.605400e+01 2.45059653e+02
4.606140e+01 2.64499613e+02
4.609700e+01 3.58021591e+02
4.614000e+01 5.43916429e+02
4.619000e+01 8.68698052e+02
