57-La_n-g
> 57-La-139:1.000000
7.031980e+02 2.93380000e-01
7.033670e+02 1.90551000e-01
7.035360e+02 1.33723000e-01
7.038740e+02 7.63646000e-02
7.042120e+02 4.94336000e-02
7.045500e+02 3.46771000e-02
7.052250e+02 1.98923000e-02
7.065760e+02 9.23615000e-03
7.079270e+02 5.47850000e-03
7.106290e+02 2.77771000e-03
7.133310e+02 1.82536000e-03
7.241400e+02 8.92542000e-04
7.457570e+02 6.48490000e-04
7.889910e+02 6.22162000e-04
8.106090e+02 6.77374000e-04
8.322260e+02 8.37652000e-04
8.430340e+02 1.04863000e-03
8.484390e+02 1.25352000e-03
8.538430e+02 1.62213000e-03
8.592470e+02 2.40251000e-03
8.619490e+02 3.17781000e-03
8.646510e+02 4.59366000e-03
8.660030e+02 5.79112000e-03
8.673540e+02 7.62880000e-03
8.687050e+02 1.06634000e-02
8.700560e+02 1.62202000e-02
8.714070e+02 2.81406000e-02
8.720820e+02 4.00417000e-02
8.727580e+02 6.17779000e-02
8.734330e+02 1.08168000e-01
8.737710e+02 1.54204000e-01
8.741090e+02 2.37648000e-01
8.742780e+02 3.07548000e-01
8.744470e+02 4.13641000e-01
8.746160e+02 5.86000000e-01
8.747840e+02 8.93622000e-01
8.748690e+02 1.14765000e+00
8.749530e+02 1.52699000e+00
8.750380e+02 2.13140000e+00
8.751220e+02 3.17775000e+00
8.752070e+02 5.23331000e+00
8.752490e+02 7.09223000e+00
8.752910e+02 1.01342000e+01
8.753330e+02 1.55972000e+01
8.753540e+02 2.01027000e+01
8.753760e+02 2.67979000e+01
8.753970e+02 3.72722000e+01
8.754180e+02 5.46913000e+01
8.754390e+02 8.56094000e+01
8.754600e+02 1.42465000e+02
8.754800e+02 2.28069000e+02
8.755000e+02 2.84717000e+02
8.755200e+02 2.27608000e+02
8.755400e+02 1.42456000e+02
8.755550e+02 9.96145000e+01
8.755690e+02 7.16466000e+01
8.755840e+02 5.32105000e+01
8.755980e+02 4.07391000e+01
8.756270e+02 2.57335000e+01
8.756560e+02 1.76058000e+01
8.756850e+02 1.27407000e+01
8.757140e+02 9.63598000e+00
8.757730e+02 6.04303000e+00
8.758310e+02 4.13388000e+00
8.758890e+02 3.00260000e+00
8.759470e+02 2.27843000e+00
8.760050e+02 1.78814000e+00
