Fe-54(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
77219.0 0.0545474
77224.8 0.0328059
77236.5 0.0161730
77248.1 0.0100397
77271.3 0.00549825
77294.6 0.00385968
77387.6 0.00221339
77480.5 0.00186938
77573.5 0.00172329
77945.5 0.00148099
78689.4 0.00124664
80177.2 0.000987205
81665.0 0.000852082
82409.0 0.000837694
82780.9 0.000952247
82966.9 0.00147456
83059.9 0.00354042
83083.1 0.00562862
83106.4 0.0113851
83118.0 0.0190909
83129.6 0.0395771
83135.4 0.0657358
83138.3 0.0900165
83141.2 0.130621
83144.2 0.206657
83145.6 0.271702
83147.1 0.372254
83148.5 0.539950
83150.0 0.840608
83150.7 1.08818
83151.4 1.44233
83152.1 1.97451
83152.9 2.75347
83153.9 4.40429
83155.0 5.51162
83156.1 4.41138
83157.1 2.75903
83158.1 1.74808
83159.1 1.16205
83160.1 0.814223
83161.1 0.597099
83163.1 0.356602
83165.1 0.235440
83167.1 0.166609
83169.1 0.123979
83173.1 0.0762861
83181.1 0.0373872
83189.1 0.0222891
83205.2 0.0107544
83221.2 0.00650525
83253.2 0.00336519
83285.2 0.00223649
83413.2 0.00112202
83669.3 0.000829056
84181.4 0.000739703
85205.7 0.000694059
87254.3 0.000659734
89302.9 0.000660137
90327.2 0.000684421
90839.4 0.000748389
91095.4 0.000970285
91223.5 0.00181151
91255.5 0.00265373
91287.5 0.00495960
91303.5 0.00801820
91319.5 0.0160460
91327.5 0.0261287
91335.5 0.0505325
91339.5 0.0782095
91343.5 0.136257
91345.5 0.191914
91347.5 0.287032
91349.5 0.462591
91351.5 0.802365
91353.3 1.28170
91355.0 1.59408
91356.8 1.26932
91358.5 0.792705
91360.3 0.487061
91362.0 0.317190
91363.8 0.219186
91365.5 0.159228
91369.0 0.0939323
91372.5 0.0617186
91379.5 0.0324391
91386.5 0.0200545
91400.6 0.0100335
91414.6 0.00616840
91442.6 0.00322911
91470.7 0.00214968
91526.7 0.00135485
91582.8 0.00107088
91807.1 0.000797569
92255.7 0.000743995
93152.8 0.000777906
94947.1 0.00101518
95844.3 0.00132820
96292.8 0.00161963
96741.4 0.00211051
96965.7 0.00249238
97190.0 0.00303207
97302.1 0.00338948
97414.3 0.00382895
97526.4 0.00437734
97638.6 0.00507320
97750.7 0.00597347
97862.8 0.00716431
97975.0 0.00878137
98087.1 0.0110448
98199.3 0.0143282
98311.4 0.0192874
98423.6 0.0271064
98535.7 0.0398619
98605.0 0.0514862
98674.4 0.0664963
98813.0 0.0982652
98882.3 0.102875
98951.7 0.0944682
99090.3 0.0615077
99204.0 0.0403670
99317.7 0.0272760
99431.4 0.0193085
99545.2 0.0142882
99772.6 0.00871304
100000 0.00591166
100260 0.00426315
100520 0.00334825
101040 0.00248513
101559 0.00217396
102079 0.00209344
103118 0.00222471
103638 0.00238197
103898 0.00256624
104028 0.00303778
104093 0.00472522
104125 0.0109193
104134 0.0168264
104142 0.0320250
104146 0.0509640
104150 0.0940530
104152 0.143559
104154 0.237910
104156 0.457837
104157 0.684444
104158 1.09832
104159 1.73766
104160 2.18851
104161 1.73439
104162 1.09578
104163 0.778415
104164 0.577826
104165 0.344154
104167 0.218488
104168 0.153560
104171 0.0860255
104174 0.0559341
104179 0.0293697
104185 0.0185985
104196 0.0101309
104208 0.00693943
104253 0.00368860
104345 0.00285369
104527 0.00269058
104892 0.00275653
105622 0.00299952
107081 0.00354189
110000 0.00469440
112920 0.00472511
114379 0.00476847
115109 0.00485344
115292 0.00492757
115474 0.00512624
115565 0.00539241
115657 0.00611331
115702 0.00706134
115725 0.00796387
115748 0.00952595
115771 0.0125847
115782 0.0153482
115793 0.0198624
115805 0.0279480
115811 0.0345990
115816 0.0444575
115822 0.0598296
115828 0.0852798
115833 0.130188
115839 0.212245
115845 0.337660
115850 0.422613
115856 0.339488
115861 0.213674
115865 0.151985
115869 0.111105
115873 0.0840016
115877 0.0659774
115884 0.0435806
115892 0.0314758
115900 0.0241216
115908 0.0194568
115923 0.0140338
115938 0.0111193
115954 0.00939867
115985 0.00753821
116016 0.00661226
116047 0.00608623
116108 0.00554270
116232 0.00513904
116356 0.00499563
116603 0.00489659
116850 0.00486769
117345 0.00486159
117839 0.00487854
118334 0.00491033
118829 0.00496976
119076 0.00503017
119323 0.00516966
119447 0.00534221
119571 0.00579308
119632 0.00638182
119663 0.00694336
119694 0.00792263
119725 0.00986919
119741 0.0116667
119756 0.0146428
119772 0.0201780
119779 0.0248518
119787 0.0319981
119795 0.0438255
119802 0.0644690
119810 0.104392
119814 0.138777
119818 0.186959
119824 0.296191
119830 0.368893
119836 0.295906
119842 0.186746
119849 0.111914
119856 0.0727252
119862 0.0509123
119869 0.0379013
119875 0.0295302
119882 0.0240188
119895 0.0173582
119909 0.0136405
119922 0.0113953
119948 0.00892167
119975 0.00766359
120001 0.00694458
120054 0.00620703
120160 0.00569966
120266 0.00560449
120372 0.00572142
120478 0.00616118
120531 0.00668255
120584 0.00778538
120610 0.00889163
120636 0.0110352
120663 0.0176324
120676 0.0350359
120683 0.0902276
120686 0.258226
120688 0.702843
120689 1.46389
120689 2.36257
120689 4.43533
120690 7.49071
120690 9.48766
120691 5.01774
120691 2.30489
120692 1.16787
120693 0.489284
120695 0.175021
120700 0.0663001
120708 0.0381978
120717 0.0392160
120726 0.0493073
120735 0.0706882
120740 0.0892520
120744 0.116627
120749 0.161006
120753 0.234048
120757 0.364602
120762 0.605963
120766 0.967356
120770 1.18605
120774 0.932691
120778 0.585871
120781 0.422023
120784 0.314416
120789 0.189041
120795 0.124842
120800 0.0886060
120806 0.0661015
120811 0.0517366
120822 0.0348166
120833 0.0255843
120843 0.0201018
120865 0.0141308
120887 0.0111137
120908 0.00938838
120952 0.00759473
120995 0.00672577
121038 0.00624214
121125 0.00575016
121299 0.00539523
121472 0.00527700
122165 0.00521845
122859 0.00529165
123552 0.00541302
124246 0.00558622
124940 0.00584280
125633 0.00631925
125980 0.00697325
126067 0.00735944
126153 0.00809306
126240 0.0102941
126262 0.0119267
126283 0.0157566
126294 0.0204299
126305 0.0317500
126310 0.0450556
126316 0.0747849
126318 0.105593
126321 0.163378
126324 0.286939
126325 0.408414
126327 0.592223
126328 0.947912
126330 1.17590
126332 0.950872
126333 0.594743
126335 0.399529
126336 0.281699
126338 0.203196
126339 0.155994
126342 0.0997557
126345 0.0706745
126351 0.0435069
126357 0.0318947
126368 0.0228766
126380 0.0200943
126403 0.0202717
126426 0.0246356
126449 0.0348218
126461 0.0443473
126473 0.0600759
126484 0.0884521
126490 0.111900
126496 0.146782
126502 0.201414
126507 0.292394
126513 0.454238
126519 0.753055
126525 1.20395
126530 1.50891
126536 1.20967
126541 0.757490
126545 0.526729
126549 0.380013
126553 0.281670
126557 0.217221
126565 0.139254
126573 0.0971323
126582 0.0721076
126590 0.0561252
126606 0.0377956
126622 0.0280030
126638 0.0222140
126670 0.0160263
126703 0.0129553
126735 0.0112289
126800 0.00947046
126929 0.00824042
127058 0.00789308
127576 0.00816163
128093 0.00920382
128610 0.0109221
129390 0.0156673
130170 0.0239858
130560 0.0276189
130950 0.0279558
131730 0.0202825
132229 0.0154560
132727 0.0122146
133226 0.0101446
133725 0.00880982
134223 0.00793417
134722 0.00738271
135221 0.00729271
135345 0.00753422
135470 0.00828537
135532 0.00924181
135595 0.0114344
135626 0.0137296
135657 0.0180191
135672 0.0216695
135688 0.0271606
135704 0.0356704
135719 0.0488057
135740 0.0742622
135760 0.0912259
135781 0.0743102
135801 0.0489240
135817 0.0350477
135834 0.0263905
135850 0.0209067
135867 0.0173103
135899 0.0131253
135932 0.0109122
135998 0.00878526
136063 0.00783066
136195 0.00700334
136326 0.00664635
136588 0.00631683
136851 0.00614806
137376 0.00595268
137901 0.00583341
138163 0.00578970
138425 0.00575397
138688 0.00572506
138950 0.00570221
139213 0.00568486
139475 0.00567264
139738 0.00566529
140000 0.00566268
140375 0.00576083
140750 0.00586878
141500 0.00611685
142250 0.00641740
143000 0.00679212
143750 0.00728307
144500 0.00797400
145250 0.00904238
146000 0.0108917
146385 0.0124142
146770 0.0145781
147540 0.0213615
147925 0.0247713
148310 0.0256888
149080 0.0199940
149748 0.0151442
150082 0.0136785
150249 0.0134143
150333 0.0144324
150353 0.0156281
150374 0.0189094
150385 0.0231683
150395 0.0336416
150400 0.0458115
150406 0.0721612
150408 0.0983583
150411 0.145049
150413 0.237041
150415 0.316682
150416 0.442342
150418 0.695898
150420 0.881656
150422 0.708822
150424 0.452399
150426 0.263504
150428 0.169410
150431 0.117890
150433 0.0875060
150437 0.0551009
150442 0.0399900
150451 0.0264444
150459 0.0208777
150477 0.0163693
150495 0.0146204
150566 0.0126866
150707 0.0118978
150991 0.0112568
151557 0.0105450
152124 0.0102409
152407 0.0104570
152478 0.0107475
152549 0.0115475
152584 0.0125896
152619 0.0152504
152637 0.0184851
152655 0.0259722
152664 0.0340884
152673 0.0498191
152677 0.0641910
152681 0.0864725
152686 0.123291
152690 0.185214
152695 0.290376
152700 0.362955
152705 0.295079
152710 0.188917
152714 0.133593
152717 0.0977895
