Na-23(n,g) ENDF/B-VII.1
Energy(eV) XS(b)
673910 0.000344920
681390 0.000342261
682520 0.000341864
683010 0.000341692
683420 0.000341548
683580 0.000341492
684070 0.000341321
684800 0.000341066
686510 0.000340470
687970 0.000339963
688780 0.000339683
693940 0.000337910
695770 0.000337287
698380 0.000336403
701130 0.000335478
702280 0.000335092
704440 0.000334372
707480 0.000333364
707750 0.000333275
710350 0.000332419
713330 0.000331445
713870 0.000331269
718170 0.000329878
718530 0.000329762
721780 0.000328720
722540 0.000328478
725680 0.000327481
726060 0.000327361
730280 0.000326033
733480 0.000325036
735490 0.000324413
738680 0.000323430
740990 0.000322723
744860 0.000321546
746830 0.000320952
747130 0.000320861
747680 0.000320696
748100 0.000320570
748730 0.000320380
749300 0.000320210
750000 0.000320000
750040 0.000319955
752330 0.000317398
754910 0.000314550
757260 0.000311987
757530 0.000311694
758940 0.000310172
761630 0.000307296
762730 0.000306131
763470 0.000305351
765150 0.000303589
765660 0.000303057
766160 0.000302536
766500 0.000302183
767000 0.000301665
768850 0.000299758
770530 0.000298040
771700 0.000296852
773210 0.000295329
776070 0.000292472
777910 0.000290654
779590 0.000289008
780930 0.000287705
782950 0.000285755
786140 0.000282712
786780 0.000282107
789500 0.000279556
796050 0.000273541
800000 0.000270000
801730 0.000269280
804450 0.000268156
810160 0.000265822
812780 0.000264763
818220 0.000262590
826440 0.000259366
827290 0.000259037
832660 0.000256974
840550 0.000253996
842690 0.000253199
850460 0.000250344
852440 0.000249625
857850 0.000247681
858940 0.000247293
865740 0.000244895
871940 0.000242745
873800 0.000242106
880000 0.000240000
880350 0.000239968
883640 0.000239670
886570 0.000239406
892280 0.000238895
893390 0.000238796
896640 0.000238508
897290 0.000238450
899160 0.000238285
902290 0.000238010
902490 0.000237992
904560 0.000237811
905700 0.000237711
907520 0.000237552
911390 0.000237216
911590 0.000237198
913210 0.000237058
915030 0.000236901
917300 0.000236706
922760 0.000236239
926540 0.000235917
928680 0.000235736
933690 0.000235314
936410 0.000235087
943240 0.000234518
944100 0.000234447
946420 0.000234256
949610 0.000233993
952570 0.000233751
953200 0.000233700
959050 0.000233224
962120 0.000232976
964250 0.000232805
964630 0.000232774
965760 0.000232683
966450 0.000232628
966670 0.000232610
967130 0.000232574
967810 0.000232519
968270 0.000232482
968490 0.000232465
969180 0.000232410
971220 0.000232247
973350 0.000232078
974180 0.000232012
976460 0.000231831
979190 0.000231616
980550 0.000231509
981920 0.000231401
982450 0.000231360
984420 0.000231206
985790 0.000231099
987000 0.000231004
988970 0.000230851
992200 0.000230600
992610 0.000230569
996100 0.000230299
997620 0.000230183
999440 0.000230043
1.00000E+06 0.000230000
1.00010E+06 0.000229994
1.00190E+06 0.000229886
1.00560E+06 0.000229664
1.00730E+06 0.000229563
1.00900E+06 0.000229461
1.01260E+06 0.000229247
1.01320E+06 0.000229212
1.01760E+06 0.000228952
1.02360E+06 0.000228600
1.02510E+06 0.000228512
1.02900E+06 0.000228285
1.03170E+06 0.000228129
1.03350E+06 0.000228025
1.03540E+06 0.000227915
1.03820E+06 0.000227754
1.03930E+06 0.000227691
1.04400E+06 0.000227422
1.04900E+06 0.000227138
1.05110E+06 0.000227019
1.05610E+06 0.000226737
1.05970E+06 0.000226535
1.06220E+06 0.000226395
1.06450E+06 0.000226267
1.06630E+06 0.000226167
1.06950E+06 0.000225990
1.07280E+06 0.000225808
1.07340E+06 0.000225775
1.07840E+06 0.000225500
1.08000E+06 0.000225413
1.08290E+06 0.000225254
1.08520E+06 0.000225129
1.08660E+06 0.000225053
1.08770E+06 0.000224994
1.08830E+06 0.000224961
1.08910E+06 0.000224918
1.09000E+06 0.000224869
1.09420E+06 0.000224643
1.09840E+06 0.000224418
1.10420E+06 0.000224109
1.10800E+06 0.000223907
1.10960E+06 0.000223823
1.11090E+06 0.000223754
1.11120E+06 0.000223738
1.11310E+06 0.000223638
1.11990E+06 0.000223282
1.12410E+06 0.000223063
1.12990E+06 0.000222763
1.13360E+06 0.000222572
1.13370E+06 0.000222567
1.13950E+06 0.000222270
1.14150E+06 0.000222168
1.14560E+06 0.000221960
1.14890E+06 0.000221793
1.15510E+06 0.000221480
1.15740E+06 0.000221365
1.15920E+06 0.000221275
1.16380E+06 0.000221046
1.16780E+06 0.000220847
1.17080E+06 0.000220699
1.17170E+06 0.000220655
1.17350E+06 0.000220566
1.17620E+06 0.000220433
1.18010E+06 0.000220242
1.18330E+06 0.000220086
1.18680E+06 0.000219916
1.19220E+06 0.000219655
1.19630E+06 0.000219458
1.19910E+06 0.000219323
1.20060E+06 0.000219252
1.20490E+06 0.000219047
1.20630E+06 0.000218980
1.21060E+06 0.000218776
1.21280E+06 0.000218672
1.21470E+06 0.000218583
1.21980E+06 0.000218343
1.22420E+06 0.000218137
1.22520E+06 0.000218091
1.22930E+06 0.000217900
1.23370E+06 0.000217696
1.23390E+06 0.000217687
1.23770E+06 0.000217512
1.24200E+06 0.000217314
1.24440E+06 0.000217205
1.25450E+06 0.000216746
1.26320E+06 0.000216354
1.26830E+06 0.000216126
1.27180E+06 0.000215970
1.27890E+06 0.000215655
1.28460E+06 0.000215404
1.28970E+06 0.000215181
1.29020E+06 0.000215159
1.29590E+06 0.000214911
1.29810E+06 0.000214816
1.30120E+06 0.000214682
1.30480E+06 0.000214526
1.30650E+06 0.000214453
1.30760E+06 0.000214406
1.30960E+06 0.000214320
1.31220E+06 0.000214209
1.31410E+06 0.000214128
1.31620E+06 0.000214038
1.31790E+06 0.000213966
1.31930E+06 0.000213907
1.32100E+06 0.000213835
1.32200E+06 0.000213792
1.32340E+06 0.000213733
1.32530E+06 0.000213653
1.32900E+06 0.000213497
1.32980E+06 0.000213463
1.33320E+06 0.000213321
1.33700E+06 0.000213162
1.34340E+06 0.000212895
1.35130E+06 0.000212569
1.35480E+06 0.000212425
1.35530E+06 0.000212404
1.36370E+06 0.000212061
1.36600E+06 0.000211968
1.36870E+06 0.000211858
1.37220E+06 0.000211716
1.37650E+06 0.000211543
1.38060E+06 0.000211379
1.38340E+06 0.000211266
1.38500E+06 0.000211203
1.38730E+06 0.000211111
1.38890E+06 0.000211047
1.39060E+06 0.000210980
1.39110E+06 0.000210960
1.39200E+06 0.000210924
1.39300E+06 0.000210884
1.39420E+06 0.000210837
1.39560E+06 0.000210781
1.39750E+06 0.000210706
1.39930E+06 0.000210635
1.40390E+06 0.000210454
1.41130E+06 0.000210165
1.41940E+06 0.000209850
1.42560E+06 0.000209611
1.42680E+06 0.000209565
1.42940E+06 0.000209465
1.43110E+06 0.000209400
1.43350E+06 0.000209308
1.43870E+06 0.000209110
1.45110E+06 0.000208641
1.45540E+06 0.000208479
1.46400E+06 0.000208158
1.47040E+06 0.000207920
1.47280E+06 0.000207831
1.47320E+06 0.000207817
1.47830E+06 0.000207629
1.48500E+06 0.000207383
1.49020E+06 0.000207193
1.49310E+06 0.000207088
1.49570E+06 0.000206994
1.49760E+06 0.000206925
1.49830E+06 0.000206900
1.50080E+06 0.000206809
1.50430E+06 0.000206683
1.50870E+06 0.000206525
1.51540E+06 0.000206286
