33-As_n-tot
>  33-As-75:1.000000
4.757370e+02 3.72589000e+00
4.759020e+02 4.24752000e+00
4.760660e+02 5.12289000e+00
4.762300e+02 6.72189000e+00
4.763940e+02 1.00110000e+01
4.764770e+02 1.30554000e+01
4.765590e+02 1.80102000e+01
4.766410e+02 2.65156000e+01
4.766820e+02 3.29547000e+01
4.767230e+02 4.14210000e+01
4.767670e+02 5.31679000e+01
4.768120e+02 6.68756000e+01
4.769000e+02 8.56779000e+01
4.769890e+02 7.12745000e+01
4.770770e+02 4.69204000e+01
4.771400e+02 3.46006000e+01
4.772020e+02 2.62773000e+01
4.772650e+02 2.06507000e+01
4.773270e+02 1.67724000e+01
4.774520e+02 1.19959000e+01
4.775770e+02 9.31717000e+00
4.777030e+02 7.67526000e+00
4.778280e+02 6.59749000e+00
4.780780e+02 5.31303000e+00
4.783280e+02 4.60165000e+00
4.785780e+02 4.16450000e+00
4.790780e+02 3.67423000e+00
4.795790e+02 3.41923000e+00
4.800790e+02 3.27166000e+00
4.810800e+02 3.12658000e+00
4.830810e+02 3.09240000e+00
4.850830e+02 3.26327000e+00
4.870840e+02 3.73247000e+00
4.880850e+02 4.20594000e+00
4.890850e+02 5.04571000e+00
4.900860e+02 6.74658000e+00
4.905860e+02 8.34872000e+00
4.910870e+02 1.11042000e+01
4.915870e+02 1.64888000e+01
4.918370e+02 2.13675000e+01
4.920870e+02 2.93861000e+01
4.923380e+02 4.39487000e+01
4.924630e+02 5.61231000e+01
4.925880e+02 7.44711000e+01
4.927130e+02 1.03832000e+02
4.928380e+02 1.54283000e+02
4.929630e+02 2.48321000e+02
4.930880e+02 4.32917000e+02
4.931940e+02 6.86814000e+02
4.933000e+02 8.52568000e+02
4.934060e+02 6.78795000e+02
4.935120e+02 4.22921000e+02
4.936130e+02 2.65061000e+02
4.937150e+02 1.74764000e+02
4.938160e+02 1.21867000e+02
4.939180e+02 8.92102000e+01
4.940190e+02 6.79167000e+01
4.941200e+02 5.33992000e+01
4.943230e+02 3.55914000e+01
4.945260e+02 2.55731000e+01
4.947290e+02 1.94281000e+01
4.951340e+02 1.26344000e+01
4.955400e+02 9.19135000e+00
4.959450e+02 7.22733000e+00
4.967560e+02 5.21865000e+00
4.975670e+02 4.29628000e+00
4.983780e+02 3.82632000e+00
5.000000e+02 3.46002000e+00
5.019940e+02 3.45402000e+00
5.039890e+02 3.69169000e+00
5.079780e+02 4.75107000e+00
5.119660e+02 6.90802000e+00
5.139610e+02 8.70055000e+00
5.159550e+02 1.13000000e+01
5.179490e+02 1.51811000e+01
5.199440e+02 2.12075000e+01
5.219380e+02 3.10730000e+01
5.239330e+02 4.84362000e+01
5.249300e+02 6.23327000e+01
5.259270e+02 8.23221000e+01
5.269240e+02 1.12283000e+02
5.279210e+02 1.59578000e+02
5.289190e+02 2.39348000e+02
5.299160e+02 3.85834000e+02
5.304140e+02 5.06981000e+02
5.309130e+02 6.84199000e+02
5.314120e+02 9.49005000e+02
5.319100e+02 1.34435000e+03
5.326550e+02 2.21065000e+03
5.334000e+02 2.83765000e+03
5.341450e+02 2.33098000e+03
5.348900e+02 1.49690000e+03
5.353970e+02 1.09106000e+03
5.359030e+02 8.13017000e+02
5.364090e+02 6.23152000e+02
5.369160e+02 4.90898000e+02
5.379290e+02 3.26657000e+02
5.389420e+02 2.33803000e+02
5.399540e+02 1.76627000e+02
5.409670e+02 1.39004000e+02
